풀어지다	被解開	抱	發出	逃避
품	幅度	質量	氣球	風速
품다	抱	發出	逃避	做
품질	質量	氣球	風速	風俗
풍기다	發出	逃避	做	分開
풍부하다	豐富	雪白的	空閒	華麗
풍선	氣球	風速	風俗	職業
풍속	風速	風俗	職業	印表機
풍습	風俗	職業	印表機	塑料
프로	職業	印表機	塑料	疲勞
프린터	印表機	塑料	疲勞	皮膚
플라스틱	塑料	疲勞	皮膚	皮膚病
피로	疲勞	皮膚	皮膚病	避暑
피부	皮膚	皮膚病	避暑	傷害
피부병	皮膚病	避暑	傷害	受害者
피서	避暑	傷害	受害者	做筆記
피하다	逃避	做	分開	生氣
피해	傷害	受害者	做筆記	必要的
피해자	受害者	做筆記	必要的	必要性
필기	做筆記	必要的	必要性	錄音
필수	必要的	過失	不需	藉口
필수적	基本的	韓國的	合理的	現代的
필수품	必要性	一定	藉口	白色
필요성	必要性	藉口	白色	飯店
핑계	藉口	白色	飯店	星期二
하	下	上帝	住宿	白色的
하긴	也是	很	總之	哈哈
하나하나	逐個	一段時期	很久	正
하느님	上帝	住宿	白色的	下車
하도	很	總之	哈哈	更
하숙	住宿	白色的	下車	打哈欠
하양	白色的	下車	打哈欠	學科
하여튼	總之	哈哈	更	一次
하차	下車	打哈欠	學科	學歷
하품	打哈欠	學科	學歷	學問
하하	哈哈	更	一次	一層
학과	學科	學歷	學問	父母
학력	學歷	學問	父母	學費
학문	學問	父母	學費	學習
학부모	父母	學費	學習	學用品
