회화	對話	數字	效果	孝順
횟수	數字	效果	孝順	孝子
효과	效果	孝順	孝子	下半場
효과적	有效的	高效的	誰也	一些
효도	孝順	孝子	下半場	候選人
효율적	高效的	誰也	一些	店舖
효자	孝子	下半場	候選人	飯後甜點
후반	下半場	候選人	飯後甜點	胡椒
후보	候選人	飯後甜點	胡椒	後悔
후식	飯後甜點	胡椒	後悔	訓練
후추	胡椒	後悔	訓練	假期
후회	後悔	訓練	假期	攜帶
후회스럽다	後悔	常見的	有趣的	白色的
훈련	訓練	假期	攜帶	休息
훔치다	偷	擺動	流過	冒出來
휴가철	假期	攜帶	休息	休養地
휴대	攜帶	休息	休養地	休學
휴식	休息	休養地	休學	模仿
휴양지	休養地	休學	模仿	流動
휴학	休學	模仿	流動	黑白
흉내	模仿	流動	黑白	痕跡
흐름	流動	黑白	痕跡	土
흑백	黑白	痕跡	土	吸收
흔들리다	擺動	流過	冒出來	流下來
흔적	痕跡	土	吸收	興趣
흔하다	常見的	有趣的	白色的	有力
흔히	經常	用力	無力地	是啊
흘러가다	流過	冒出來	流下來	分散
흘러나오다	冒出來	流下來	分散	用功
흘러내리다	流下來	分散	用功	堅硬
흙	土	吸收	興趣	激動
흡수	吸收	興趣	激動	有興趣者
흥미	興趣	激動	有興趣者	犧牲
흥미롭다	有趣的	白色的	有力	慢
흥분	激動	有興趣者	犧牲	受害者
흩어지다	分散	用功	堅硬	不會
희다	白色的	有力	慢	加上
희망자	有興趣者	犧牲	受害者	閣下
희생	犧牲	受害者	閣下	家
희생자	受害者	閣下	家	本人名義
