힘껏	用力	無力地	是啊	哇
힘쓰다	用功	堅硬	不會	明亮的
힘없이	無力地	是啊	哇	比較
힘차다	有力	慢	加上	沒有
바	事	時	人	地
바가지	勺子	籃子	針	海水
바구니	籃子	針	海水	圍棋
바늘	針	海水	圍棋	希望
바닷물	海水	圍棋	希望	傻子
바둑	圍棋	希望	傻子	岩石
바람	希望	小提琴	褲子	博物館
바람직하다	可取的	端正	在深夜	餓
바래다주다	送回	擺好	供上	釘
바로잡다	擺好	供上	釘	丟掉
바르다	端正	收到	聽寫	學
바보	傻子	岩石	基礎	博士
바싹	乾	閃光	猛地	勤奮地
바위	岩石	基礎	博士	盒子
바치다	供上	看	釘	歡迎
바퀴	車輪	法律	部門	-點
바탕	基礎	博士	盒子	半價
박	泊	看	釘	歡迎
박다	釘	戲弄	歡迎	閃爍
박사	博士	盒子	半價	返還
박스	盒子	半價	返還	半月
박히다	釘	歡迎	閃爍	敵人
반값	半價	返還	半月	反義詞
반기다	歡迎	放棄	閃爍	談戀愛
반납	返還	半月	反義詞	對面
반달	半月	反義詞	對面	半語
반대말	反義詞	對面	半語	另一方面
반대쪽	對面	半語	另一方面	反對
반말	半語	另一方面	反對	重複
반면	另一方面	反對	重複	反省
반발	反對	重複	反省	反映
반복	重複	反省	反映	反應
반성	反省	反映	反應	班長
반영	反映	反應	班長	麵團
반응	反應	班長	麵團	OK繃
반장	班長	麵團	OK繃	短袖
