밤중	午夜	飯碗	食慾	電鍋
밥그릇	飯碗	食慾	電鍋	方向
밥맛	食慾	電鍋	方向	地面
밥솥	電鍋	方向	地面	廣播公司
방면	方向	地面	廣播公司	方式
방바닥	地面	廣播公司	方式	方案
방송사	廣播公司	方式	方案	鈴鐺
방식	方式	方案	鈴鐺	預防
방안	方案	鈴鐺	預防	障礙
방울	鈴鐺	預防	障礙	背景
방지	預防	障礙	背景	排球
방해	障礙	背景	排球	肚臍
배경	背景	排球	肚臍	背包
배고프다	餓	飽飽地	繁瑣	熱鬧
배구	排球	肚臍	背包	背包旅行
배꼽	肚臍	背包	背包旅行	關懷
배낭	背包	背包旅行	關懷	配送
배낭여행	背包旅行	關懷	配送	伴侶
배다	沾上	吐	支撐	輪流
배려	關懷	配送	伴侶	送別
배부르다	飽飽地	繁瑣	熱鬧	任性
배송	配送	伴侶	送別	安排
배우자	伴侶	送別	安排	電池
배웅	送別	安排	電池	船運
배치	安排	電池	船運	包
배터리	電池	船運	包	內心
배편	船運	包	內心	香菇
백	包	內心	香菇	奶油
뱃속	內心	香菇	奶油	按鈕
뱉다	吐	支撐	輪流	拉開
버섯	香菇	奶油	按鈕	閃電
버터	奶油	按鈕	閃電	翻譯
버튼	按鈕	閃電	翻譯	門牌
버티다	支撐	輪流	拉開	裂
번갈다	輪流	拉開	裂	發生
번개	閃電	翻譯	門牌	號碼牌
번거롭다	繁瑣	熱鬧	任性	別的
번역	翻譯	門牌	號碼牌	蜜蜂
번지	門牌	號碼牌	蜜蜂	懲罰
번호표	號碼牌	蜜蜂	懲罰	罰金
