번화하다	熱鬧	任性	別的	負擔
벌	蜜蜂	懲罰	罰金	蟲子
벌	懲罰	懲罰	罰金	蟲子
벌금	罰金	蟲子	範圍	犯人
벌떡	猛地	勤奮地	當然	清楚地
벌레	蟲子	範圍	犯人	犯罪
벌리다	拉開	裂	發生	開展
벌어지다	裂	發生	開展	扒
벌어지다	發生	發生	開展	扒
벌이다	開展	扒	出去	給
범위	範圍	犯人	犯罪	法律
범인	犯人	犯罪	法律	法院
범죄	犯罪	法律	法院	規則
법	法律	部門	-點	小時
법률	法律	法院	規則	枕頭
법원	法院	規則	枕頭	陽台
법적	合法的	部分的	否定的	批判的
법칙	規則	枕頭	陽台	長椅
벗기다	扒	出去	給	生病
벗어나다	出去	給	生病	照顧
베개	枕頭	陽台	長椅	鈴
베란다	陽台	長椅	鈴	腰帶
베풀다	給	生病	照顧	拜會
벤치	長椅	鈴	腰帶	水稻
벨	鈴	腰帶	水稻	掛鐘
벨트	腰帶	水稻	掛鐘	壁紙
벼	水稻	掛鐘	壁紙	變更
벽시계	掛鐘	壁紙	變更	波動
벽지	壁紙	變更	波動	辨解
변경	變更	波動	辨解	便秘
변덕스럽다	任性	別的	負擔	必然
변동	波動	辨解	便秘	改變
변명	辨解	便秘	改變	另外
변비	便秘	改變	另外	無話可說
변화	改變	另外	無話可說	暱稱
별	別的	三	二十	新衣
별다르다	別的	負擔	必然	不滿意
별도	另外	無話可說	暱稱	別的事
별말씀	無話可說	暱稱	別的事	病房
별명	暱稱	別的事	病房	報告
