본래	本來	事實	正好	現在
본부	總部	本質	臉頰	值得看的東西
본인	本人名義	自己	橫向	各自
본질	本質	臉頰	值得看的東西	保齡球
볼	臉頰	值得看的東西	保齡球	事
볼거리	值得看的東西	保齡球	事	志願
볼링	保齡球	事	志願	袋子
볼일	事	志願	袋子	財富
봉사	志願	袋子	財富	附近
봉지	袋子	財富	附近	恥辱
뵈다	拜會	怕羞	碰到	被撞
부	部門	附近	恥辱	負擔
부	財富	附近	恥辱	負擔
부-	不	附近	恥辱	負擔
부근	附近	恥辱	負擔	部隊
부끄러움	恥辱	負擔	部隊	房地產
부끄러워하다	怕羞	碰到	被撞	嫉妒
부담	負擔	部隊	房地產	父母
부담스럽다	負擔	必然	不滿意	新的
부대	部隊	房地產	父母	部門
부동산	房地產	父母	部門	負傷
부딪치다	碰到	被撞	嫉妒	斷
부딪히다	被撞	嫉妒	斷	顯現
부러워하다	嫉妒	斷	顯現	碎
부러지다	斷	顯現	碎	休息
부리다	顯現	碎	休息	盡管
부모	父母	部門	負傷	補助
부문	部門	負傷	部下	部位
부분적	部分的	否定的	批判的	善於交際的
부상	負傷	部門	部位	婦人
부서	部門	部位	婦人	父子
부서지다	碎	休息	盡管	引起
부수다	休息	盡管	引起	泡
부위	部位	婦人	父子	副作用
부인	婦人	富翁	部長	不足
부자	父子	部長	不足	請託
부작용	副作用	有錢人的房子	非法行為	否定
부잣집	有錢人的房子	非法行為	否定	不准確
부정	非法行為	否定	不准確	部族
부정	否定	否定	不准確	部族
