살인	謀殺	生活	獎	桌
살짝	偷偷溜出去	沒有關係	相當	重新
살찌다	變胖	變高	查看	熬
살펴보다	查看	捕捉	熬	娶
살피다	查看	熬	娶	吞下
삶	生活	獎	桌	店鋪
삶다	熬	娶	吞下	腐爛
삼다	娶	吞下	腐爛	雕刻
삼키다	吞下	腐爛	雕刻	漏
상	獎	箱	傷口	生菜
상	桌	箱	傷口	生菜
상가	店鋪	相關	賞金	諮詢
상관	相關	賞金	諮詢	諮詢室
상관없다	無闗的	相當	暢快	與眾不同
상관없이	沒有關係	相當	重新	要緊
상금	賞金	諮詢	諮詢室	顧問
상담	諮詢	諮詢室	顧問	對手
상담실	諮詢室	顧問	對手	意外
상담원	顧問	上司	對手	對方
상당하다	相當	暢快	與眾不同	生動
상당히	相當	很少	重新	慢慢地
상대	對手	上級	上方	上游
상대방	對手	對方	上游	上半年
상대적	相對的	成功的	世界的	被動的
상대편	對方	上游	上半年	上司
상류	上游	上半年	上司	想像
상반기	上半年	上司	想像	想像力
상사	上司	想像	想像力	上升
상상	想像	想像力	上升	常識
상상력	想像力	上升	常識	商業
상승	上升	常識	商業	上映
상식	常識	商業	上映	店鋪
상업	商業	上映	店鋪	象徵
상영	上映	店鋪	象徵	狀態
상점	店鋪	象徵	狀態	上下
상징	象徵	狀態	上下	情況
상쾌하다	暢快	與眾不同	生動	涼爽
상태	狀態	上下	情況	內
상하	上下	情況	內	小子
상하다	腐爛	雕刻	漏	亮
