상황	情況	內	小子	後媽
새	內	三四個	消極的	大約
새기다	雕刻	漏	亮	熬
새끼	小子	後媽	蝦	新房子
새다	漏	亮	熬	出現
새다	亮	亮	熬	出現
새로이	重新	舊的	慢慢地	恐怕
새삼	重新	慢慢地	恐怕	珍惜
새엄마	後媽	蝦	新房子	涼鞋
새우	蝦	新房子	涼鞋	活力
새우다	熬	出現	夾雜	激動
새집	新房子	涼鞋	活力	長相
색다르다	與眾不同	生動	涼爽	傷心
샌들	涼鞋	活力	長相	出生日期
생겨나다	出現	夾雜	激動	成立
생기	活力	長相	出生日期	省略
생김새	長相	出生日期	省略	直髮
생년월일	出生日期	省略	直髮	生命
생략	省略	直髮	生命	現場直播
생머리	直髮	生命	現場直播	生產
생명	生命	現場直播	生產	生存
생방송	現場直播	生產	生存	生活開銷
생산	生產	生存	生活開銷	生活用品
생생하다	生動	涼爽	傷心	生氣
생존	生存	生活開銷	生活用品	洗髮水
생활비	生活開銷	生活用品	洗髮水	西
생활용품	生活用品	洗髮水	西	簽名
샴푸	洗髮水	西	簽名	西部
서	西	簽名	西部	西洋
서넛	三四個	五	五六	萬
서늘하다	涼爽	熱	傷心	笨拙
서럽다	傷心	開心	笨拙	孤獨
서명	簽名	西部	西洋	書籍
서부	西部	西洋	書籍	石油
서서히	慢慢地	恐怕	珍惜	老實說
서양인	西洋	書籍	石油	線
서운하다	傷心	高興	笨拙	時髦的
서적	書籍	石油	線	選舉
서투르다	笨拙	孤獨	時髦的	沒用
서툴다	笨拙	時髦的	沒用	疏忽
