시야	視野	市外	城際巴士	詩人
시외	市外	城際巴士	詩人	時日
시외버스	城際巴士	詩人	時日	市長
시인	詩人	時日	市長	時期
시일	時日	市長	時期	時間
시장	市長	市政府	考試	家人
시절	時期	時間	市場	婆家
시점	時間	市場	婆家	詩集
시중	市場	婆家	詩集	視聽
시집	婆家	詩集	視聽	收視率
시집	詩集	詩集	視聽	收視率
시집가다	嫁去	冷了	興奮的	裝
시청	視聽	考試	家人	麵包
시청률	收視率	觀眾	比賽	執法
시청자	觀眾	比賽	執法	試卷
시합	比賽	執法	試卷	餐具
시행	執法	試卷	餐具	餐廳
시험지	試卷	餐具	餐廳	食物
식기	餐具	餐廳	食物	食料品
식당가	餐廳	食物	食料品	植物
식량	食物	食料品	植物	伙食費
식료품	食料品	植物	伙食費	食物量
식물	植物	伙食費	食物量	食慾
식비	伙食費	食物量	食慾	食用油
식사량	食物量	食慾	食用油	食物中毒
식욕	食慾	食用油	食物中毒	食品店
식용유	食用油	食物中毒	食品店	吃飯後
식중독	食物中毒	食品店	吃飯後	上帝
식품점	食品店	吃飯後	上帝	勁
식후	吃飯後	上帝	勁	神經
식히다	冷了	興奮的	裝	撒
신	上帝	勁	神經	遺失物申告
신	勁	勁	神經	遺失物申告
신-	新	舊	信	行
신경	神經	遺失物申告	信仰	相信
신고	遺失物申告	信仰	相信	酸味
신기하다	驚人的	嚴重	新鮮的	清冷
신나다	興奮的	裝	撒	包住
신념	信仰	相信	酸味	報社
신뢰	相信	酸味	報社	報紙
