저리	那裡	自行	適度	至少
저마다	每個	那麼多	一整天	一個人
저만큼	那麼多	一整天	一個人	好
저울	秤	作者	保存	儲蓄
저자	作者	保存	儲蓄	敵人
저장	保存	儲蓄	敵人	積極地
저절로	自行	適度	至少	絕對
저지르다	犯	變少	寫下	進入
저축	儲蓄	敵人	積極地	資質
적	敵人	積極地	資質	適用
적극	積極地	資質	適用	適應
적극적	積極的	全國	專業的	全體的
적당히	適度	至少	絕對	真的
적성	資質	適用	適應	赤字
적어도	至少	絕對	真的	確切地
적어지다	變少	寫下	進入	接到
적용	適用	適應	赤字	展現
적응	適應	赤字	展現	全國
적자	赤字	展現	全國	前夕
적절하다	適切	文雅的	忙於	小的
적히다	寫下	進入	接到	攪
전개	展現	全國	前夕	中繼
전국	全國	前夕	中繼	展望
전국적	全國	專業的	全體的	傳統的
전날	前夕	中繼	展望	專業
전달	中繼	展望	專業	專家
전망	展望	專業	專家	專賣店
전문	專業	專家	專賣店	職業
전문가	專家	專賣店	職業	傳奇
전문적	專業的	全體的	傳統的	絕對的
전문점	專賣店	職業	傳奇	全租
전문직	職業	傳奇	全租	展覽
전설	傳奇	全租	展覽	展示展
전세	全租	展覽	展示展	展示會
전시	展覽	展示展	展示會	專用
전시장	展示展	展示會	專用	全員
전시회	展示會	專用	全員	電源
전용	專用	全員	電源	電子的
전원	全員	電源	電子的	微波爐
전원	電源	電源	電子的	微波爐
