정면	正面	完全相反	信息	信息化
정반대	完全相反	信息	信息化	政府
정보	信息	信息化	政府	正常
정보화	信息化	政府	正常	全力
정부	政府	正常	全力	飲水機
정상	正常	全力	飲水機	正式
정상적	正常的	精神的	政治的	宗教的
정성	全力	飲水機	正式	精神
정수기	飲水機	正式	精神	中午
정식	正式	精神	中午	定員
정신	精神	中午	定員	肉店
정신없다	忙於	小的	當心	無聊的
정신적	精神的	政治的	宗教的	主觀
정오	中午	定員	肉店	定義
정원	定員	整型外科	正確	標題
정육점	肉店	定義	正式衣服	停止
정의	定義	正式衣服	停止	正直
정작	實際上	最大的	最少	一次
정장	正式衣服	停止	正直	安定
정지	停止	正直	安定	政策
정직	正直	安定	政策	政治
정착	安定	政策	政治	政治家
정책	政策	政治	政治家	奶水
정치	政治	政治家	奶水	消除
정치인	政治家	奶水	消除	提供
정치적	政治的	宗教的	主觀	直接的
정확히	確切地	如願地	請	相當
젖	奶水	消除	提供	製果店
제	我的	什麼時候	什麼	某
제-	第-	大	小	非
제거	消除	提供	製果店	制度
제공	提供	製果店	制度	準時
제과점	製果店	制度	準時	祭祀
제대로	如願地	請	相當	很少
제도	制度	準時	祭祀	提議
제때	準時	祭祀	提議	放棄
제발	請	相當	很少	經常
제법	相當	很少	經常	一路
제사	祭祀	提議	準時	補助
제시	提議	準時	忘記	限制
