당신	您	什麼	哪裡	這裡
당연하다	當然	驚人的	獨特的	烈
당연히	當然	非常	大致上	大致
당일	當日	馬上	中獎	驚慌
당장	馬上	中獎	驚慌	代價
당첨	中獎	驚慌	代價	大規模
당하다	遇到	沾	趕到	面對
당황	驚慌	代價	大規模	大氣
닿다	沾	趕到	面對	弄髒
대	莖幹	石頭	籌措	車輪
대-	大	小	前	後
대가	代價	大規模	大氣	等待
대강	大綱	大概	大略	每年
대개	大概	大略	每年	每月
대규모	大規模	大氣	等待	大公司
대기	大氣	等待	大公司	正午
대기	等待	等待	大公司	正午
대기업	大公司	正午	大多數	大城市
대낮	正午	大多數	大城市	大量
대다	趕到	面對	弄髒	來不及
대다수	大多數	大城市	大量	大道
대단하다	驚人的	獨特的	烈	圓形的
대단히	非常	大致上	大致	況且
대도시	大城市	大量	大道	代理
대략	大略	每年	每月	每天
대량	大量	大道	代理	對立
대로	大道	代理	對立	大門
대리	代理	對立	大門	對比
대립	對立	大門	對比	準備
대문	大門	對比	準備	大使
대비	對比	準備	大使	台詞
대비	準備	準備	大使	台詞
대사	大使	台詞	對象	代理
대사	台詞	台詞	對象	代理
대상	對象	對待	代替	對應
대상자	對象	代替	對應	款待
대신	代替	對應	款待	比對
대여섯	五六	萬	四十	百
대응	對應	款待	比對	大眾
대접	款待	比對	大眾	流行歌
