등록	登錄	學費	登記證	登山服
등록금	學費	登記證	登山服	出場
등록증	登記證	登山服	出場	設計師
등산복	登山服	出場	設計師	數位
등장	出場	設計師	數位	女兒
디자이너	設計師	數位	女兒	地板
디지털	數位	女兒	地板	地下
따님	女兒	地板	地下	花生
따다	摘	跟去	跟隨	跟在
따라가다	跟去	跟來	跟在	弄丟
따라다니다	跟隨	離開	跟在	倒
따라서	所以	分別地	叮鈴鈴	正
따라오다	跟在	戲弄	倒	追究
따로따로	分別地	叮鈴鈴	正	有時
따르다	跟在	倒	追究	打
따르다	倒	倒	追究	打
따르릉	叮鈴鈴	正	有時	敲
따지다	追究	打	離開	離開來
딱	正	地	有時	再次
딱딱하다	硬	清楚的	傑出的	多
딴	胡亂想	星期幾	所有	最
땅바닥	地板	地下	花生	污垢
땅속	地下	花生	污垢	一群
땅콩	花生	污垢	一群	大便
때	污垢	年糕	年糕湯	炒年糕
때때로	有時	輸	再次	也是
때로	有時	再次	也是	清清楚楚
때리다	打	離開	離開來	升起
떠나가다	離開	離開來	升起	回憶起
떠나오다	離開來	升起	回憶起	顫抖
떠오르다	升起	回憶起	顫抖	發抖
떠올리다	回憶起	顫抖	發抖	掉在
떨다	顫抖	發抖	掉在	撕下
떨리다	發抖	掉在	撕下	鑽
떨어뜨리다	掉在	撕下	鑽	黏
떼	一群	大便	蓋子	院子
떼다	撕下	結合	鑽	跑步
또다시	再次	也是	清清楚楚	順心
또한	也是	清清楚楚	順心	意料之外
똑똑히	清清楚楚	順心	意料之外	多
