목도리	圍巾	聲音	洗澡	浴池
목소리	聲音	洗澡	浴池	目的
목욕	洗澡	浴池	目的	身體
목욕탕	浴池	目的	身體	蒙古
목적	目的	身體	蒙古	蘿蔔
몸	身體	蒙古	蘿蔔	重量
못	不會	非常	提前	亂
못생기다	不好看	重	可怕	適合的
못하다	不會	明亮的	在家	困
몽골	蒙古	蘿蔔	重量	無窮花
무	蘿蔔	重量	無窮花	免費
무겁다	重	可怕	適合的	迷惘
무게	重量	無窮花	免費	膝蓋
무궁화	無窮花	免費	膝蓋	問題
무료	免費	膝蓋	問題	文化
무릎	膝蓋	問題	文化	水
무섭다	可怕	適合的	迷惘	好欺負
무엇	什麼	哪裡	這裡	每位
무척	非常	提前	亂	一直
문제	問題	文化	水	東西
문화	文化	水	東西	魚
묻다	問	問一下	滑	相信
물	水	東西	魚	美國
물건	東西	魚	美國	未來
물고기	魚	美國	未來	美術館
물론	當然	每次	無條件	馬上
물어보다	問一下	滑	相信	推
뭐	什麼	某	模擬兩可的	我
미국	美國	未來	美術館	海帶湯
미끄러지다	滑	相信	推	下決心
미래	未來	美術館	海帶湯	麵粉
미리	提前	亂	一直	正確地
미술관	美術館	海帶湯	麵粉	下面
미역국	海帶湯	麵粉	下面	大蒜
미터	-公尺	公分	公里	公斤
믿다	相信	推	下決心	碰
밀가루	麵粉	下面	大蒜	闗節
밀다	推	下決心	碰	捂住
밑	下面	大蒜	闗節	馬拉松
마당	院子	鎮	心	迎接
