올리다	上漲	記	哭	身體
올림	閣下	奧林匹克競賽	衣服	衣架
올림픽	奧林匹克競賽	衣服	衣架	衣櫃
옳다	正確	孤單	這樣的	早
옷	衣服	衣架	衣櫃	襯衫
옷걸이	衣架	衣櫃	襯衫	國王
옷장	衣櫃	襯衫	國王	國外
와	哇	嗯	是的	沒有
와이셔츠	襯衫	國王	國外	外語
완전히	完全	為什麼	因為	首先
왕	國王	國外	外語	外國人
왜	為什麼	因為	首先	待會
왜냐하면	因為	首先	待會	已經
외국	國外	外語	外國人	外出
외국어	外語	外國人	外出	左手
외국인	外國人	外出	左手	左邊
외롭다	孤單	這樣的	早	習慣
외우다	記	哭	身體	笑
외출	外出	左手	左邊	費用
왼손	左手	左邊	費用	料理方法
왼쪽	左邊	費用	料理方法	廚師
요금	費用	料理方法	廚師	星期
요리	料理方法	廚師	星期	最近
요리사	廚師	星期	最近	烏龍麵
요일	星期	最近	烏龍麵	我們國家
요즘	最近	烏龍麵	我們國家	傘
우동	烏龍麵	我們國家	傘	牛奶
우리	我們	你們	這個	這個地方
우리나라	我們國家	傘	牛奶	郵票
우산	傘	牛奶	郵票	運動
우선	首先	待會	已經	早起
우유	牛奶	郵票	運動	運動服
우표	郵票	運動	運動服	操場
운동	運動	運動服	操場	運動鞋
운동복	運動服	操場	運動鞋	駕駛
운동장	操場	運動鞋	駕駛	司機
운동화	運動鞋	駕駛	司機	蔚山
운전	駕駛	司機	蔚山	哭
운전사	司機	蔚山	哭	笑
울다	哭	身體	笑	求
