이때	機會	姓名	額頭	姨媽
이런	這個	沒有	兩	很久
이렇다	這樣的	早	習慣	捨不得
이르다	早	說	連接	弄熟
이름	姓名	額頭	姨媽	這周
이마	額頭	姨媽	這周	被子
이모	姨媽	這周	被子	搬家
이미	已經	早起	可能	總是
이번	這周	被子	搬家	搬家行李
이분	這位	這邊	某某人	我
이불	被子	搬家	搬家行李	以上
이사	搬家	搬家行李	以上	異常
이삿짐	搬家行李	以上	異常	故事
이상	以上	異常	故事	利用
이상	異常	異常	故事	利用
이야기	故事	利用	鄰近	理由
이용	利用	鄰近	理由	以前
이웃	鄰近	理由	以前	兩天
이유	理由	以前	兩天	理解
이전	以前	兩天	理解	以後
이제	現在	昨天	一整天	滿腦子
이쪽	這邊	某某人	我	那個
이틀	兩天	理解	以後	人氣
이해	理解	以後	人氣	印度尼西亞
이후	以後	人氣	印度尼西亞	問候
익다	成熟	認同	起床	起來
익숙하다	習慣	捨不得	無所謂	不熟
인기	人氣	印度尼西亞	問候	人參
인도네시아	印度尼西亞	問候	人參	仁川
인분	-人份	問候	人參	仁川
인사	問候	人參	仁川	網路
인삼	人參	仁川	網路	娃娃
인정받다	認同	起床	起來	讀
인천	仁川	網路	娃娃	工作
인터넷	網路	娃娃	工作	日記
인형	娃娃	工作	日記	日本
일	工作	日記	日本	部份
일	-天	日記	日本	部份
일기	日記	日本	部份	日式食物
일본	日本	部份	日式食物	日式餐廳
