콜라	可樂	鼻涕	豆子	尺寸
콧물	鼻涕	豆子	尺寸	聖誕樹
콩	豆子	尺寸	聖誕樹	大聲
크기	尺寸	聖誕樹	大聲	個子
크다	大	-種	一個	三個月
크리스마스	聖誕樹	大聲	個子	間
큰소리	大聲	個子	間	活動
키	個子	間	活動	切
키우다	養狗	變大	著（火）	搭
킬로그램	-公斤			
킬로미터	-公里			
타다	著（火）	搭	沖	誕生
타다	搭	搭	沖	誕生
타다	沖	搭	沖	誕生
탁구	桌球	糖醋肉	泰國	跆拳道
탕수육	糖醋肉	泰國	跆拳道	太極旗
태국	泰國	跆拳道	太極旗	態度
태권도	跆拳道	太極旗	態度	颱風
태극기	太極旗	態度	颱風	送貨
태도	態度	颱風	送貨	計程車
태어나다	誕生	炸	開	錯
태풍	颱風	送貨	計程車	航廈
택배	送貨	計程車	航廈	網球
택시	計程車	航廈	網球	網球場
터미널	航廈	網球	網球場	桌子
테니스	網球	網球場	桌子	電視
테니스장	網球場	桌子	電視	兔子
테이블	桌子	電視	兔子	番茄
텔레비전	電視	兔子	番茄	存摺
토끼	兔子	番茄	存摺	通話
토마토	番茄	存摺	通話	下班
통장	存摺	通話	下班	出院
통화	通話	下班	出院	油炸食物
퇴근	下班	出院	油炸食物	卡車
퇴원	出院	油炸食物	卡車	T恤
튀기다	炸	開	錯	先天
튀김	油炸食物	卡車	T恤	隊
트럭	卡車	T恤	隊	他人
특별하다	特別	強	胖乎乎的	肯定是
특별히	特別	尤其	空蕩蕩	完全
