하다	做	分開	生氣	放手
하루	一天	住宿費	宿舍	學校
하숙비	住宿費	宿舍	學校	學期
하숙집	宿舍	學校	學期	學年
하얗다	雪白的	空閒	華麗	優秀
하지만	但	一起	總是	每年
학교	學校	學期	學年	學生
학기	學期	學年	學生	學生證
학년	學年	學生	學生證	補習班
학생	學生	學生證	補習班	漢江
학생증	學生證	補習班	漢江	韓國
학원	補習班	漢江	韓國	韓國字
한가하다	空閒	華麗	優秀	渾濁
한강	漢江	韓國	韓國字	韓服
한국	韓國	韓國字	韓服	韓食
한글	韓國字	韓服	韓食	韓式餐廳
한두	一個或兩個	舊	間接的	感動的
한번	一次	現在的	逐個	一段時期
한복	韓服	韓食	韓式餐廳	韓屋
한식	韓食	韓式餐廳	韓屋	一杯
한식집	韓式餐廳	韓屋	一杯	款待
한옥	韓屋	一杯	款待	祖母
한잔	一杯	款待	祖母	祖父
한턱	款待	祖母	祖父	折扣
할머니	祖母	祖父	折扣	航空
할아버지	祖父	折扣	航空	機票
할인	折扣	航空	機票	太陽
함께	一起	總是	每年	如果
항공	航空	機票	太陽	海外
항공권	機票	太陽	海外	海外旅遊
항상	總是	每年	如果	活躍的
해	-年	海外	海外旅遊	漢堡
해	太陽	海外	海外旅遊	漢堡
해마다	每年	如果	活躍的	更
해외	海外	海外旅遊	漢堡	陽光
해외여행	海外旅遊	漢堡	陽光	行動
햄버거	漢堡	陽光	行動	幸福
햇빛	陽光	行動	幸福	活動
행동	行動	幸福	活動	腰部
행복	幸福	活動	腰部	健身房
