발가락	腳趾	腳底	夜	飯
발바닥	腳底	夜	飯	房間
밝다	明亮的	在家	困	偶爾
밤	夜	飯	房間	房門
밥	飯	房間	房門	探望
방	房間	房門	探望	方法
방금	馬上	平常	日日夜夜	本來
방문	房門	探望	方法	轉播
방문	探望	探望	方法	轉播
방법	方法	轉播	廣播電台	放假
방송	轉播	廣播電台	放假	方向
방송국	廣播電台	放假	方向	肚子
방학	放假	方向	肚子	船
방향	方向	肚子	船	梨子
배	肚子	放假	探望	蛇
배	船	放假	飯	蛇
배	梨子	探望	放假	蛇
배	-倍	放假	探望	蛇
배달	外賣	羽毛球	劇場演員	白菜
배드민턴	羽毛球	劇場演員	白菜	拉肚子
배우	劇場演員	白菜	拉肚子	蛇
배우다	學	丟	賺	脫掉
배추	白菜	拉肚子	蛇	習慣
배탈	拉肚子	蛇	習慣	公車
백만	百萬	五十	十萬	三十
뱀	蛇	習慣	公車	號碼
버릇	習慣	公車	號碼	越南
버리다	丟	賺	脫掉	改變
버스	公車	號碼	越南	牆
번	次	位	雙	天
번째	第	位	雙	天
번호	號碼	越南	牆	律師
벌	-套	懲罰	罰金	蟲子
벌다	賺	脫掉	改變	寄
벌써	已經	沒	再	走快點
벗다	脫掉	改變	寄	看
베트남	越南	牆	律師	星星
벽	牆	律師	星星	病
변하다	改變	寄	看	錯
변호사	律師	星星	病	瓶
