별	星星	三	二十	新衣
별로	沒	再	走快點	乾
병	病	星星	探病	醫院
병	瓶	星星	探病	醫院
병문안	探病	醫院	紫色	複習
병원	醫院	紫色	複習	炒飯
보내다	寄	退	看	炒
보다	再	退貨	換成	炒飯
보라색	紫色	複習	炒飯	原子筆
보이다	看	戲弄	炒	拜見
보이다	看	戲弄	炒	拜見
보통	平常	日日夜夜	本來	事實
복습	複習	炒飯	原子筆	信
복잡하다	複雜	害羞地	柔軟的	羨慕
볶다	炒	拜見	叫	寄
볶음밥	炒飯	原子筆	信	父母
볼펜	原子筆	信	父母	夫妻
봉투	信	父母	夫妻	部份
뵙다	拜見	叫	寄	風吹
부끄럽다	害羞地	柔軟的	羨慕	飽
부드럽다	柔軟的	羨慕	飽	勤勞
부럽다	羨慕	飽	勤勞	清楚
부르다	叫	寄	風吹	沾上
부르다	飽	寄	風吹	沾上
부모님	父母	夫妻	部份	釜山
부부	夫妻	部份	釜山	廚房
부분	部份	釜山	廚房	夫人
부산	釜山	廚房	夫人	富翁
부엌	廚房	夫人	富翁	部長
부인	夫人	富翁	部長	不足
부자	富翁	部長	不足	請託
부장	部長	不足	請託	北邊
부족	不足	請託	北邊	麵
부지런하다	勤勞	清楚	不幸	紅色的
부치다	寄	風吹	沾上	貼
부탁	請託	北邊	麵	氣氛
북쪽	北邊	麵	氣氛	點火
분	位	雙	公尺	張
분	分鐘	雙	公尺	張
분명하다	清楚	不幸	紅色的	相似
