수영	游泳	泳裝	游泳池	湯匙
수영복	泳裝	游泳池	湯匙	手冊
수영장	游泳池	湯匙	手冊	作業
수저	湯匙	手冊	作業	嫩豆腐鍋
수첩	手冊	作業	嫩豆腐鍋	排順序
숙제	作業	嫩豆腐鍋	排順序	勺子
순두부찌개	嫩豆腐鍋	排順序	勺子	酒
순서	排順序	勺子	酒	酒吧
숟가락	勺子	酒	酒吧	數字
술	酒	酒吧	數字	超市
술집	酒吧	數字	超市	毛衣
숫자	數字	超市	毛衣	圍巾
쉬다	休息	喘息	悲傷	安排
쉬다	喘息	喘息	悲傷	安排
쉽다	簡單	悲傷	吵雜	酸
슈퍼마켓	超市	毛衣	圍巾	溜冰鞋
스스로	我自己	真實發生	昨天	今天
스웨터	毛衣	圍巾	溜冰鞋	滑雪板
스카프	圍巾	溜冰鞋	滑雪板	滑雪場
스케이트	溜冰鞋	滑雪板	滑雪場	偶像
스키	滑雪板	滑雪場	偶像	壓力
스키장	滑雪場	偶像	壓力	義大利麵
스타	偶像	壓力	義大利麵	運動
스트레스	壓力	義大利麵	運動	悲傷
스파게티	義大利麵	運動	悲傷	習慣
스포츠	運動	悲傷	習慣	市
슬퍼하다	悲傷	安排	冷	穿
슬프다	悲傷	吵雜	酸	涼爽
슬픔	悲傷	習慣	市	時程表
습관	習慣	市	時程表	鐘
시	市	時程表	鐘	鄉下
시	-點	時程表	鐘	鄉下
시간	小時	幾月	-天	之外
시간표	時程表	鐘	鄉下	市內
시계	鐘	鄉下	市內	市民
시골	鄉下	市內	市民	婆婆
시끄럽다	吵雜	酸	涼爽	新鮮
시내	市內	市民	婆婆	開始
시다	酸	涼爽	新鮮	煩人
시민	市民	婆婆	開始	市場
