시어머니	婆婆	開始	市場	市政府
시원하다	涼爽	新鮮	煩人	無聊的
시작	開始	市場	市政府	考試
시장	市場	市政府	考試	家人
시청	市政府	考試	家人	麵包
시키다	安排	冷	穿	裝載
시험	考試	家人	麵包	用餐
식구	家人	麵包	用餐	醋
식다	冷	穿	裝載	討厭
식빵	麵包	用餐	醋	桌子
식사	用餐	醋	桌子	食品
식초	醋	桌子	食品	新郎
식탁	桌子	食品	新郎	報紙
식품	食品	新郎	報紙	鞋
신다	穿	裝載	討厭	種
신랑	新郎	報紙	鞋	新娘
신문	報紙	鞋	新娘	神父
신발	鞋	新娘	神父	身份證
신부	新娘	神父	身份證	申請
신부	神父	神父	身份證	申請
신분증	身份證	申請	紅綠燈	駕照
신선하다	新鮮	煩人	無聊的	過火
신청	申請	信任	紅綠燈	蜜月
신호	紅綠燈	信任	蜜月	打擾一下
신호등	紅綠燈	蜜月	打擾一下	犯錯
신혼여행	蜜月	打擾一下	犯錯	失敗
싣다	裝載	討厭	種	打包
실례	打擾一下	犯錯	失敗	大麥
실수	犯錯	失敗	大麥	垃圾
실패	失敗	大麥	垃圾	垃圾桶
싫다	煩人	無聊的	過火	淡
싫어하다	討厭	種	打包	吵架
심다	種	打包	吵架	堆積
심심하다	無聊的	過火	淡	便宜
심하다	過火	淡	便宜	寒冷
싱겁다	淡	便宜	寒冷	苦
싸다	打包	吵架	堆積	切
싸다	便宜	吵架	堆積	切
싸우다	吵架	堆積	切	寫
쌀	大麥	垃圾	垃圾桶	事件
