잠	睡覺	雜誌	雜菜	手套
잠깐	等一下	暫時	每個	那麼多
잠시	暫時	每個	那麼多	一整天
잠자다	大睡	㧓住	用膳	寫
잡다	㧓住	用膳	寫	轉
잡수시다	用膳	寫	轉	折
잡지	雜誌	雜菜	手套	玩具
잡채	雜菜	手套	玩具	雨季
장	-張	寫	轉	折
장갑	手套	玩具	雨季	玫瑰
장난감	玩具	雨季	玫瑰	場所
장마	雨季	玫瑰	場所	材料
장미	玫瑰	場所	材料	有趣
장소	場所	材料	有趣	打噴嚏
재료	材料	有趣	打噴嚏	存
재미	有趣	打噴嚏	存	晚上
재미없다	無趣	有趣	那樣	小
재미있다	有趣	那樣	小	適中
재채기	打噴嚏	存	晚上	上週
저	我	你	那個	那邊
저	模擬兩可的	你	那個	那邊
저	我	你	那個	那邊
저거	那個	那個人	那邊	這個
저것	那個	那邊	這	那個人
저곳	那邊	那個	那個人	這邊
저금	存	晚上	上週	主修
저기	那個	那個人	那邊	我們
저녁	晚上	上週	主修	電
저런	那樣	全	初次	總
저렇다	那樣	小	適中	年輕
저번	上週	主修	電	地鐵
저분	那個人	那邊	我們	我的
저쪽	那邊	我們	我的	什麼時候
저희	我們	我的	什麼時候	什麼
적다	寫	轉	折	定
적다	小	轉	折	定
적당하다	適中	年輕	安靜的	狹窄
전	全	初次	總	一位
전	前	初次	總	一位
전공	主修	電	地鐵	全體
