전기	電	地鐵	全體	電話
전부	全部	真的	真話	最
전철	地鐵	全體	電話	輕切
전체	全體	個人	電話	電話號碼
전하다	轉	折	定	淋濕
전혀	完全	漸漸	無精打采的	逐步
전화	電話	電子	電話號碼	分數
전화기	電話	電話號碼	分數	中午
전화번호	電話號碼	分數	中午	午餐時間
젊다	年輕	安靜的	狹窄	很好
점수	分數	中午	午餐時間	合格
점심	中午	當心	午餐時間	盤子
점심때	午餐時間	床	盤子	筷子
점심시간	午餐時間	盤子	筷子	車站
점점	漸漸	無精打采的	逐步	悄悄
접다	折	定	淋濕	打瞌睡
접시	盤子	筷子	車站	程度
젓가락	筷子	車站	程度	湯匙
정거장	車站	程度	機場	收拾
정도	程度	車站	收拾	前門
정류장	車站	收拾	前門	花園
정리	收拾	前門	花園	整型外科
정말	真的	真話	最	一點
정말	真話	真話	最	一點
정문	前門	花園	整型外科	正確
정신없이	無精打采的	逐步	悄悄	有點
정원	花園	整型外科	正確	標題
정하다	定	淋濕	打瞌睡	喜歡
정형외과	整型外科	正確	標題	濟州島
정확	正確	標題	濟州島	小心
젖다	淋濕	打瞌睡	喜歡	給
제	我的	什麼時候	什麼	某
제목	標題	濟州島	小心	侄子
제일	最	一點	現在	直接
제주도	濟州島	小心	侄子	畢業
조금	一點	現在	直接	真的
조금씩	逐步	悄悄	有點	主要
조심	小心	侄子	畢業	種類
조용하다	安靜的	狹窄	很好	抱歉
조용히	悄悄	有點	主要	一直打擾
