짜증	煩	夥伴	炒碼麵	火鍋
짝	夥伴	炒碼麵	火鍋	尺
짧다	短	自豪的	仔細	自然的
짬뽕	炒碼麵	火鍋	尺	自己的車
쪽	-邊	浴	七月	車
찌개	火鍋	尺	自己的車	資格
찌다	長	蒸	蓋	長大
찌다	蒸	蒸	蓋	長大
찍다	蓋	長大	砍	富裕
다	全	略	我自己	真實發生
다녀오다	去一趟	去	受傷	耗盡
다니다	去	受傷	耗盡	擦
다르다	不同的	甜的	鬱悶	髒
다른	別的	兩三個	僅僅	全部
다리	腿	橋	熨	各種
다리	橋	橋	熨	各種
다림질	熨	各種	隔	隔天
다섯째	第五個	第二	第三	第二十天
다시	再次	更多的	更	終於
다양	各種	隔	隔天	減肥
다음	隔	隔天	減肥	單純
다음날	隔天	減肥	單純	單詞
다이어트	減肥	單純	單詞	扣子
다치다	受傷	耗盡	擦	關
다하다	耗盡	擦	關	跑
닦다	擦	關	跑	像
단순	單純	單詞	扣子	楓葉
단어	單詞	扣子	楓葉	雞蛋
단추	扣子	楓葉	雞蛋	掛日曆
단풍	楓葉	雞蛋	掛日曆	跑步
닫다	關	跑	像	扔
달	-月	莖幹	石頭	籌措
달걀	雞蛋	掛日曆	跑步	雞
달다	甜的	改變	哄	跑去
달력	掛日曆	跑步	雞	雞肉
달리기	跑步	雞	雞肉	香煙
달리다	跑	像	扔	帶去
닭	雞	雞肉	香煙	回答
닭고기	雞肉	香煙	回答	回信
닮다	像	扔	帶去	帶來
