기억	記憶	氣溫	記者	火車
기억나다	想起	削	醒	取出
기온	氣溫	記者	火車	火車站
기자	記者	火車	火車站	火車票
기차	火車	火車站	火車票	咳嗽
기차역	火車站	火車票	咳嗽	吉他
기차표	火車票	咳嗽	吉他	機會
기침	咳嗽	吉他	機會	緊張
기타	吉他	機會	緊張	道路
기회	機會	緊張	道路	長度
긴장	緊張	道路	長度	海苔
길	道路	長度	海苔	海苔飯卷
길다	長	剝	剝來吃	舖
길이	長度	海苔	海苔飯卷	泡菜
김	海苔	海苔飯卷	泡菜	泡菜鍋
김밥	海苔飯卷	泡菜	泡菜鍋	口香糖
김치	泡菜	泡菜鍋	口香糖	花
김치찌개	泡菜鍋	口香糖	花	花束
깊다	深	黑	乾淨	滿滿
깊이	深深地	驚喜	洗乾淨	一定
까맣다	黑	乾淨	滿滿	癢
깎다	削	醒	取出	做夢
깜짝	驚喜	洗乾淨	一定	滿滿地
깨끗이	洗乾淨	一定	滿滿地	暫時
깨끗하다	乾淨	滿滿	癢	懇切的
깨다	醒	取出	做夢	關
꺼내다	取出	做夢	關	戒
껌	口香糖	花	花束	花瓶
꼭	一定	滿滿地	暫時	傲慢
꽃	花	花束	花瓶	花店
꽃다발	花束	花瓶	花店	夢
꽃병	花瓶	花店	夢	結束
꽃집	花店	夢	結束	窮困
꾸다	做夢	關	戒	斷
꿈	夢	結束	窮困	口香糖
끄다	關	戒	斷	燒
끊다	戒	拖	燒	結束
끓다	燒	闗	結束	結合
끓이다	燒	開始	結束	戴
끝	結束	開始	窮困	可能
