매우	很	遠地	不會	先
매일	每天	每週	先	全部
매주	每週	先	全部	後天
매표소	售票處	啤酒	頭	頭髮
맥주	啤酒	頭	頭髮	味道
맵다	辣	遠	好看	不好看
머리	頭	頭髮	味道	菜單
머리카락	頭髮	味道	菜單	備忘錄
먹다	吃飯	停	背	不知道
먼저	先	全部	後天	當然
멀다	遠	好看	不好看	重
멀리	遠地	不會	非常	提前
멈추다	停	背	不知道	侍奉
멋	味道	菜單	備忘錄	訊息
멋있다	好看	不好看	重	可怕
메뉴	菜單	備忘錄	訊息	郵件
메다	背	不知道	侍奉	收集
메모	備忘錄	訊息	郵件	幾天
메시지	訊息	郵件	幾天	節日
메일	郵件	幾天	節日	蚊子
며칠	幾天	節日	蚊子	行蹤
명	-名	面談	命令	榮譽
명절	節日	蚊子	行蹤	樣子
몇	幾個	四	四十	三
모기	蚊子	行蹤	樣子	形狀
모두	全部	後天	當然	每次
모든	所有	最	別的	三
모레	後天	當然	每次	無條件
모르다	不知道	侍奉	收集	賺
모습	行蹤	節日	形狀	聚會
모습	樣子	脖子	形狀	聚會
모시다	侍奉	收集	賺	不足
모양	形狀	聚會	帽子	脖子
모으다	收集	賺	不足	問
모이다	賺	不足	問	問一下
모임	聚會	帽子	脖子	項鍊
모자	帽子	脖子	項鍊	圍巾
모자라다	不足	問	問一下	滑
목	脖子	項鍊	圍巾	聲音
목걸이	項鍊	圍巾	聲音	洗澡
