가격	價格	歌手	胸部	歌謠
가끔	偶爾	滿滿地	最	簡單地
가늘다	細	簡單的	力量強	相同
가득	滿滿地	最	簡單地	突然
가리키다	指	帶去	帶來	帶著
가수	歌手	胸部	歌謠	中間的
가슴	胸部	歌謠	中間的	剪刀
가요	歌謠	中間的	剪刀	家人
가운데	中間的	剪刀	家人	零食
가위	剪刀	家人	零食	醬油
가장	最	簡單地	突然	一起
가져가다	帶去	帶來	帶著	換穿
가져오다	帶來	帶著	換穿	轉搭
가족	家人	零食	醬油	護士
가지	種類	假	價值	價值觀
가지다	帶著	換穿	轉搭	閉
각각	各國	幾乎	一直	前天
간단하다	簡單的	力量強	相同	懶惰的
간단히	簡單地	突然	一起	馬上去
간식	零食	醬油	護士	排骨
간장	醬油	護士	排骨	排骨湯
간호사	護士	排骨	排骨湯	棕色
갈비	排骨	排骨湯	棕色	柿子
갈비탕	排骨湯	棕色	柿子	感冒
갈색	棕色	柿子	感冒	感冒藥
갈아입다	換穿	轉搭	閉	染
갈아타다	轉搭	閉	染	拿錢
감	柿子	感冒	感冒藥	感謝
감기	感冒	感冒藥	感謝	馬鈴薯
감기약	感冒藥	感謝	馬鈴薯	價錢
감다	閉	開	拿錢	還
감다	染	開	拿錢	還
감사	感謝	馬鈴薯	價錢	江
감자	馬鈴薯	價錢	江	小狗
갑자기	突然	一起	馬上去	就那樣
값	價錢	江	小狗	狗
강	江	小狗	狗	大街
강아지	小狗	狗	大街	小貓
강하다	力量強	相同	懶惰的	感謝
갖다	拿錢	還	越過	穿越
같다	相同	懶惰的	感謝	餓
같이	一起	馬上去	就那樣	照原樣
갚다	還	越過	穿越	走路
개	狗	大街	距離	鏡子
개	一個	大街	距離	鏡子
개월	三個月	-東西	本	間
거기	那裡	這位	那邊	她
거리	大街	對面	鏡子	拒絕
거리	距離	對面	鏡子	拒絕
거울	鏡子	拒絕	謊話	擔心
거의	幾乎	一直	前天	靠近
거절	拒絕	謊話	擔心	健康
거짓말	謊話	擔心	健康	對面
걱정	擔心	健康	對面	腳步
건강	健康	對面	腳步	檢查
건너가다	越過	穿越	走路	掛
건너다	穿越	走路	掛	逃
건너편	對面	腳步	檢查	黑色
걷다	走路	跑步	掛	走去
걸다	掛	步行	走去	走回
걸리다	掛	走去	走回	在
걸어가다	走去	走回	在	挑
걸어오다	走回	在	挑	修理
걸음	腳步	檢查	黑色	路
검사	檢查	工事	黑色	外部
검은색	黑色	白色	外部	電腦遊戲
검정	黑色	外部	電腦遊戲	結果
것	-東西	本	間	-堂
겉	外部	電腦遊戲	結果	缺席
게으르다	懶惰的	感謝	餓	好
게임	電腦遊戲	結果	缺席	決心
결과	結果	缺席	決心	決定
결석	缺席	決心	決定	結婚
결심	決心	決定	結婚	婚禮
결정	決定	結婚	婚禮	比賽
결혼	結婚	婚禮	比賽	警察
결혼식	婚禮	比賽	警察	風景
경기	比賽	警察	風景	經驗
경찰	警察	風景	經驗	雞蛋
경치	風景	經驗	雞蛋	結帳
경험	經驗	雞蛋	結帳	季節
계란	雞蛋	結帳	季節	計劃
계산	結帳	季節	計劃	頭
계속	一直	前天	靠近	有時
계시다	在	挑	修理	痛楚
계절	季節	計劃	頭	肉
계획	計劃	頭	肉	中學
고개	頭	肉	中學	中學生
고기	肉	中學	中學生	姑母
고등학교	中學	中學生	姑母	苦悶
고등학생	中學生	姑母	苦悶	高速巴士
고르다	挑	修理	痛楚	烤
고맙다	感謝	餓	好	粗
고모	姑母	苦悶	高速巴士	貓
고민	苦悶	高速巴士	貓	故障
고속버스	高速巴士	貓	故障	辣椒醬
고양이	貓	故障	辣椒醬	故鄉
고장	故障	辣椒醬	故鄉	-地方
고추장	辣椒醬	故鄉	-地方	球
고치다	修理	痛楚	烤	疼愛
고프다	餓	好	粗	有興趣
고향	故鄉	-地方	球	公務員
곧	馬上去	就那樣	照原樣	所以
곳	-地方	球	公務員	學習
공	球	公務員	學習	工廠
공무원	公務員	學習	工廠	免費
공부	學習	工廠	免費	筆記本
공장	工廠	免費	筆記本	公休日
공짜	免費	筆記本	公休日	過去
공책	筆記本	公休日	過去	水果
공휴일	公休日	過去	水果	餅乾
과거	過去	水果	餅乾	關係
과일	水果	餅乾	關係	觀光
과자	餅乾	關係	觀光	觀光客
관계	關係	觀光	觀光客	觀光地
관광	觀光	觀光客	觀光地	闗心
관광객	觀光客	觀光地	闗心	廣告
관광지	觀光地	闗心	廣告	光州
관심	闗心	廣告	光州	教科書
광고	廣告	光州	教科書	教師
광주	光州	教科書	教師	教授
괜찮다	好	粗	有興趣	可愛的
괴로워하다	痛楚	烤	疼愛	畫畫
교과서	教科書	教師	教授	教育
교사	教師	教授	教育	交通
교수	教授	教育	交通	交通費
교육	教育	交通	交通費	交通意外
교통	交通	交通費	交通意外	換貨
교통비	交通費	交通意外	換貨	教會
교통사고	交通意外	換貨	教會	遊玩
교환	換貨	教會	遊玩	皮鞋
교회	教會	遊玩	皮鞋	雲
구경	遊玩	皮鞋	雲	湯
구두	皮鞋	雲	湯	國內
구름	雲	湯	國內	麵
국	湯	國內	麵	國籍
국내	國內	麵	國籍	國際
국수	麵	國籍	國際	軍人
국적	國籍	國際	軍人	耳朵
국제	國際	軍人	耳朵	掛耳環
군인	軍人	耳朵	掛耳環	規則
굳다	堅硬	不會	明亮的	在家
굵다	粗	禁止	劃	爬行
굽다	烤	疼愛	畫畫	停止
궁금하다	有興趣	可愛的	麻煩	就是那樣
권	本	權	雙	隻
귀	耳朵	掛耳環	規則	橘子
귀걸이	掛耳環	規則	橘子	那一天
귀여워하다	疼愛	畫畫	停止	停
귀엽다	可愛的	麻煩	就是那樣	思念
귀찮다	麻煩	就是那樣	思念	性子急的
규칙	規則	橘子	那一天	這段時間
귤	橘子	那一天	這段時間	那時
그날	那一天	這段時間	那時	碗
그냥	就那樣	照原樣	所以	但
그대로	照原樣	所以	但	因為
그동안	這段時間	那時	碗	畫
그때	那時	碗	畫	劇場
그래	好	嗯	這樣啊	是啊
그래서	所以	但	不過	這樣的話
그러나	但	所以	這樣的話	因此
그러니까	所以	這樣的話	但是	順便一提
그러면	這樣的話	因此	順便一提	然後
그러므로	因此	順便一提	然後	但
그런	這樣的	每個	四	二
그런데	順便一提	然後	但	而且
그럼	然後	但	而且	停止
그렇다	就是那樣	思念	性子急的	歡喜
그렇지만	但	而且	停止	剛才
그릇	碗	畫	劇場	附近
그리고	而且	停止	剛才	埋得深深地
그리다	畫畫	停止	停	等
그림	畫	劇場	附近	字
그립다	思念	性子急的	歡喜	長
그만	停止	剛才	埋得深深地	驚喜
그만두다	停止	停	等	養
그분	這位	那邊	她	你
그저께	前天	靠近	有時	結局
그쪽	那邊	她	你	我
그치다	停	等	養	欣喜
극장	劇場	附近	字	上演
근처	附近	遠方	田	字
글	字	線	絲	禁止
글쎄	這個嘛	字	不可以	不是
글쎄요	這樣啊	是啊	是的	什麼
글씨	字	線	禁止	期限
글자	字	禁止	期限	油
금방	剛才	埋得深深地	驚喜	洗乾淨
금지	禁止	期限	油	期末考
급하다	性子急的	歡喜	長	海很深
기간	期限	油	期末考	感覺
기다리다	等	養	欣喜	想起
기르다	養	欣喜	想起	削
기름	油	期末考	感覺	喜悅
기말시험	期末考	感覺	喜悅	宿舍
기분	感覺	喜悅	宿舍	記憶
기뻐하다	欣喜	想起	削	醒
기쁘다	歡喜	長	海很深	黑
기쁨	喜悅	宿舍	記憶	氣溫
기숙사	宿舍	記憶	氣溫	記者
기억	記憶	氣溫	記者	火車
기억나다	想起	削	醒	取出
기온	氣溫	記者	火車	火車站
기자	記者	火車	火車站	火車票
기차	火車	火車站	火車票	咳嗽
기차역	火車站	火車票	咳嗽	吉他
기차표	火車票	咳嗽	吉他	機會
기침	咳嗽	吉他	機會	緊張
기타	吉他	機會	緊張	道路
기회	機會	緊張	道路	長度
긴장	緊張	道路	長度	海苔
길	道路	長度	海苔	海苔飯卷
길다	長	剝	剝來吃	舖
길이	長度	海苔	海苔飯卷	泡菜
김	海苔	海苔飯卷	泡菜	泡菜鍋
김밥	海苔飯卷	泡菜	泡菜鍋	口香糖
김치	泡菜	泡菜鍋	口香糖	花
김치찌개	泡菜鍋	口香糖	花	花束
깊다	深	黑	乾淨	滿滿
깊이	深深地	驚喜	洗乾淨	一定
까맣다	黑	乾淨	滿滿	癢
깎다	削	醒	取出	做夢
깜짝	驚喜	洗乾淨	一定	滿滿地
깨끗이	洗乾淨	一定	滿滿地	暫時
깨끗하다	乾淨	滿滿	癢	懇切的
깨다	醒	取出	做夢	關
꺼내다	取出	做夢	關	戒
껌	口香糖	花	花束	花瓶
꼭	一定	滿滿地	暫時	傲慢
꽃	花	花束	花瓶	花店
꽃다발	花束	花瓶	花店	夢
꽃병	花瓶	花店	夢	結束
꽃집	花店	夢	結束	窮困
꾸다	做夢	關	戒	斷
꿈	夢	結束	窮困	口香糖
끄다	關	戒	斷	燒
끊다	戒	拖	燒	結束
끓다	燒	闗	結束	結合
끓이다	燒	開始	結束	戴
끝	結束	開始	窮困	可能
끝나다	結束	開始	戴	裝飾
끝내다	結束	戴	裝飾	栽培
