마당	院子	鎮	心	迎接
마르다	乾	喝	完成	被封鎖
마리	隻	月	雙	位
마시다	喝	完成	被封鎖	見
마을	鎮	心	迎接	最後的
마음	心	迎接	最後的	超市
마중	迎接	最後的	超市	馬格利酒
마지막	最後的	超市	馬格利酒	餃子
마치다	完成	被封鎖	見	做
마트	超市	馬格利酒	餃子	如果
마흔	四十	百	百萬	五十
막걸리	馬格利酒	餃子	如果	萬一
막히다	被封鎖	見	做	摸
만나다	見	做	摸	不要
만두	餃子	如果	萬一	漫畫
만들다	做	摸	不要	正確
만약	如果	萬一	漫畫	說話
만일	萬一	漫畫	說話	馬
만지다	摸	不要	正確	答對
만화	漫畫	說話	馬	馬來西亞
많다	多	清新	不好吃	好吃
많이	多	很	遠地	不會
말	說話	做	馬來西亞	不要
말	馬	不要	馬來西亞	很
말	-末	正確	馬來西亞	繫
말다	不要	正確	答對	繫
말레이시아	馬來西亞	話	味道	售票處
말씀	話	味道	售票處	啤酒
맑다	清新	不好吃	好吃	辣
맛	味道	售票處	啤酒	頭
맛없다	不好吃	好吃	辣	遠
맛있다	好吃	辣	遠	好看
맞다	正確	停	繫	吃飯
맞추다	答對	繫	吃飯	停
매년	每年	每月	每天	每週
매다	繫	吃飯	停	背
매달	每月	每天	每週	先
매우	很	遠地	不會	先
매일	每天	每週	先	全部
매주	每週	先	全部	後天
매표소	售票處	啤酒	頭	頭髮
맥주	啤酒	頭	頭髮	味道
맵다	辣	遠	好看	不好看
머리	頭	頭髮	味道	菜單
머리카락	頭髮	味道	菜單	備忘錄
먹다	吃飯	停	背	不知道
먼저	先	全部	後天	當然
멀다	遠	好看	不好看	重
멀리	遠地	不會	非常	提前
멈추다	停	背	不知道	侍奉
멋	味道	菜單	備忘錄	訊息
멋있다	好看	不好看	重	可怕
메뉴	菜單	備忘錄	訊息	郵件
메다	背	不知道	侍奉	收集
메모	備忘錄	訊息	郵件	幾天
메시지	訊息	郵件	幾天	節日
메일	郵件	幾天	節日	蚊子
며칠	幾天	節日	蚊子	行蹤
명	-名	面談	命令	榮譽
명절	節日	蚊子	行蹤	樣子
몇	幾個	四	四十	三
모기	蚊子	行蹤	樣子	形狀
모두	全部	後天	當然	每次
모든	所有	最	別的	三
모레	後天	當然	每次	無條件
모르다	不知道	侍奉	收集	賺
모습	行蹤	節日	形狀	聚會
모습	樣子	脖子	形狀	聚會
모시다	侍奉	收集	賺	不足
모양	形狀	聚會	帽子	脖子
모으다	收集	賺	不足	問
모이다	賺	不足	問	問一下
모임	聚會	帽子	脖子	項鍊
모자	帽子	脖子	項鍊	圍巾
모자라다	不足	問	問一下	滑
목	脖子	項鍊	圍巾	聲音
목걸이	項鍊	圍巾	聲音	洗澡
목도리	圍巾	聲音	洗澡	浴池
목소리	聲音	洗澡	浴池	目的
목욕	洗澡	浴池	目的	身體
목욕탕	浴池	目的	身體	蒙古
목적	目的	身體	蒙古	蘿蔔
몸	身體	蒙古	蘿蔔	重量
못	不會	非常	提前	亂
못생기다	不好看	重	可怕	適合的
못하다	不會	明亮的	在家	困
몽골	蒙古	蘿蔔	重量	無窮花
무	蘿蔔	重量	無窮花	免費
무겁다	重	可怕	適合的	迷惘
무게	重量	無窮花	免費	膝蓋
무궁화	無窮花	免費	膝蓋	問題
무료	免費	膝蓋	問題	文化
무릎	膝蓋	問題	文化	水
무섭다	可怕	適合的	迷惘	好欺負
무엇	什麼	哪裡	這裡	每位
무척	非常	提前	亂	一直
문제	問題	文化	水	東西
문화	文化	水	東西	魚
묻다	問	問一下	滑	相信
물	水	東西	魚	美國
물건	東西	魚	美國	未來
물고기	魚	美國	未來	美術館
물론	當然	每次	無條件	馬上
물어보다	問一下	滑	相信	推
뭐	什麼	某	模擬兩可的	我
미국	美國	未來	美術館	海帶湯
미끄러지다	滑	相信	推	下決心
미래	未來	美術館	海帶湯	麵粉
미리	提前	亂	一直	正確地
미술관	美術館	海帶湯	麵粉	下面
미역국	海帶湯	麵粉	下面	大蒜
미터	-公尺	公分	公里	公斤
믿다	相信	推	下決心	碰
밀가루	麵粉	下面	大蒜	闗節
밀다	推	下決心	碰	捂住
밑	下面	大蒜	闗節	馬拉松
