아	啊	不是	嘿	呃
아가씨	小姐	嬰兒	播音員	妻子
아기	嬰兒	播音員	妻子	兒子
아까	剛	一點	昨天	這麼多
아나운서	播音員	妻子	兒子	下面
아내	妻子	兒子	下面	上面
아니	不是	嘿	呃	喂（電話用語）
아들	兒子	女兒	下面	兼職工作
아래	下面	上面	兼職工作	什麼
아래쪽	下面	兼職工作	什麼	父親
아르바이트	兼職工作	什麼	父親	母親
아름답다	美	哪裡也	痛	合適
아마	也許	不管再怎麼	很	還
아무	誰也	一些	店舖	家具
아무 데도	哪裡也	痛	合適	弱
아무것	什麼	沒有人	父親	不顧
아무리	不管再怎麼	很	還	再見
아버님	父親	母親	女兒	孩子
아버지	父親	爸爸	孩子	冰淇淋
아빠	爸爸	孩子	冰淇淋	大叔
아이	孩子	天哪	啊哈	哦
아이스크림	冰淇淋	大叔	老太太	大嬸
아저씨	大叔	老太太	大嬸	公寓
아주	很	還	再見	趕快
아주머니	老太太	大嬸	公寓	樂器
아줌마	大嬸	公寓	樂器	內
아직	還	再見	趕快	總是
아파트	公寓	樂器	內	霧
아프다	痛	合適	弱	薄
악기	樂器	內	霧	眼鏡
안	內	也許	不管再怎麼	很
안개	霧	眼鏡	介紹	指示文
안경	眼鏡	介紹	指示文	安全
안내	介紹	指示文	安全	裡面
안내문	指示文	安全	裡面	前
안녕	你好	滿	前	-天
안녕히	再見	趕快	總是	多
안다	抱	不行	知道	告知
안되다	不行	知道	告知	打聽
안전	安全	裡面	前	前面
안쪽	裡面	前	前面	嬰兒
알다	知道	告知	打聽	合
알리다	告知	打聽	合	取
알맞다	合適	弱	薄	暗
알아보다	打聽	合	取	結（冰）
앞	前	前面	嬰兒	情人
앞쪽	前面	嬰兒	情人	相冊
애	嬰兒	情人	相冊	棒球
애인	情人	相冊	棒球	蔬菜
앨범	相冊	棒球	蔬菜	藥
야	嘿	呃	喂（電話用語）	是的
야구	棒球	蔬菜	藥	藥店
야채	蔬菜	藥	藥店	藥師
약	大約	任何	什麼	一些
약	藥	任何	什麼	一些
약간	一點	昨天	這麼多	錯誤
약구	藥店	藥師	承諾	襪子
약사	藥師	承諾	襪子	西服
약속	承諾	襪子	西服	洋食
약하다	弱	薄	暗	怎樣
얇다	薄	暗	怎樣	如何
양말	襪子	西服	洋食	西式餐廳
양복	西服	洋食	西式餐廳	刷牙
양식	洋食	西式餐廳	刷牙	故事
양식집	西式餐廳	刷牙	故事	肩膀
양치질	刷牙	故事	肩膀	成人
얘기	故事	肩膀	成人	小孩
어	呃	喂（電話用語）	是的	哇
어깨	肩膀	成人	小孩	孩子
어느	任何	什麼	一些	老
어둡다	暗	怎樣	如何	難
어디	哪裡	這裡	每位	我們
어떠하다	怎樣	如何	難	年幼
어떤	什麼	一些	老	這個
어떻다	如何	難	年幼	漂亮
어렵다	難	年幼	漂亮	久遠
어른	成人	小孩	孩子	母親
어리다	年幼	漂亮	久遠	正確
어린아이	小孩	大人	母親	父親
어린이	孩子	母親	爸爸	昨天晚上
어머니	母親	父親	昨天晚上	姐姐
어머님	母親	昨天晚上	姐姐	語言
어서	趕快	總是	多	還是
어울리다	合	取	結（冰）	請教
어젯밤	昨天晚上	姐姐	語言	臉
언니	姐姐	語言	臉	多少錢
언어	語言	臉	多少錢	冰塊
언제	什麼時候	什麼	某	模擬兩可的
언제나	總是	多	還是	用心地
얻다	取	結（冰）	請教	開
얼굴	臉	多少錢	冰塊	媽媽
얼다	結（冰）	請教	開	開著
얼마	多少錢	冰塊	媽媽	屁股
얼마나	多	還是	用心地	很久
얼음	冰塊	媽媽	屁股	冷氣
엄마	媽媽	屁股	冷氣	電梯
없다	沒有	過於	大	-種
엉덩이	屁股	冷氣	電梯	護照
에어컨	冷氣	電梯	護照	這里和那裡
엘리베이터	電梯	護照	這里和那裡	妹妹
여권	護照	這里和那裡	妹妹	女士
여기	這裡	每位	我們	這個
