바깥	外	外面	香蕉	海
바깥쪽	外面	香蕉	海	地面
바꾸다	換成	買	盼望	抬頭看
바뀌다	換成	盼望	抬頭看	塗
바나나	香蕉	海	地面	海灘
바다	海	地面	海灘	風
바닥	地面	海灘	風	小提琴
바닷가	海灘	風	小提琴	褲子
바라다	盼望	抬頭看	塗	收到
바라보다	抬頭看	塗	收到	聽寫
바람	風	小提琴	褲子	博物館
바로	立即	務必	已經	沒
바르다	塗	收到	聽寫	學
바쁘다	忙	歡迎	複雜	害羞地
바이올린	小提琴	褲子	博物館	拍手
바지	褲子	博物館	拍手	外面
박물관	博物館	拍手	外面	半個
박수	拍手	外面	半個	班
밖	外面	半個	班	反方向
반	半個	塗	反方向	短褲
반	班	塗	反方向	短褲
반갑다	歡迎	複雜	害羞地	柔軟的
반대	反方向	短褲	戒指	小菜
반드시	務必	已經	沒	再
반바지	短褲	戒指	小菜	腳
반지	戒指	小菜	腳	腳趾
반찬	小菜	腳	腳趾	腳底
받다	收到	聽寫	學	丟
받아쓰다	聽寫	學	丟	賺
발	腳	腳趾	腳底	夜
발가락	腳趾	腳底	夜	飯
발바닥	腳底	夜	飯	房間
밝다	明亮的	在家	困	偶爾
밤	夜	飯	房間	房門
밥	飯	房間	房門	探望
방	房間	房門	探望	方法
방금	馬上	平常	日日夜夜	本來
방문	房門	探望	方法	轉播
방문	探望	探望	方法	轉播
방법	方法	轉播	廣播電台	放假
방송	轉播	廣播電台	放假	方向
방송국	廣播電台	放假	方向	肚子
방학	放假	方向	肚子	船
방향	方向	肚子	船	梨子
배	肚子	放假	探望	蛇
배	船	放假	飯	蛇
배	梨子	探望	放假	蛇
배	-倍	放假	探望	蛇
배달	外賣	羽毛球	劇場演員	白菜
배드민턴	羽毛球	劇場演員	白菜	拉肚子
배우	劇場演員	白菜	拉肚子	蛇
배우다	學	丟	賺	脫掉
배추	白菜	拉肚子	蛇	習慣
배탈	拉肚子	蛇	習慣	公車
백만	百萬	五十	十萬	三十
뱀	蛇	習慣	公車	號碼
버릇	習慣	公車	號碼	越南
버리다	丟	賺	脫掉	改變
버스	公車	號碼	越南	牆
번	次	位	雙	天
번째	第	位	雙	天
번호	號碼	越南	牆	律師
벌	-套	懲罰	罰金	蟲子
벌다	賺	脫掉	改變	寄
벌써	已經	沒	再	走快點
벗다	脫掉	改變	寄	看
베트남	越南	牆	律師	星星
벽	牆	律師	星星	病
변하다	改變	寄	看	錯
변호사	律師	星星	病	瓶
별	星星	三	二十	新衣
별로	沒	再	走快點	乾
병	病	星星	探病	醫院
병	瓶	星星	探病	醫院
병문안	探病	醫院	紫色	複習
병원	醫院	紫色	複習	炒飯
보내다	寄	退	看	炒
보다	再	退貨	換成	炒飯
보라색	紫色	複習	炒飯	原子筆
보이다	看	戲弄	炒	拜見
보이다	看	戲弄	炒	拜見
보통	平常	日日夜夜	本來	事實
복습	複習	炒飯	原子筆	信
복잡하다	複雜	害羞地	柔軟的	羨慕
볶다	炒	拜見	叫	寄
볶음밥	炒飯	原子筆	信	父母
볼펜	原子筆	信	父母	夫妻
봉투	信	父母	夫妻	部份
뵙다	拜見	叫	寄	風吹
부끄럽다	害羞地	柔軟的	羨慕	飽
부드럽다	柔軟的	羨慕	飽	勤勞
부럽다	羨慕	飽	勤勞	清楚
부르다	叫	寄	風吹	沾上
부르다	飽	寄	風吹	沾上
부모님	父母	夫妻	部份	釜山
부부	夫妻	部份	釜山	廚房
부분	部份	釜山	廚房	夫人
부산	釜山	廚房	夫人	富翁
부엌	廚房	夫人	富翁	部長
부인	夫人	富翁	部長	不足
부자	富翁	部長	不足	請託
부장	部長	不足	請託	北邊
부족	不足	請託	北邊	麵
부지런하다	勤勞	清楚	不幸	紅色的
부치다	寄	風吹	沾上	貼
부탁	請託	北邊	麵	氣氛
북쪽	北邊	麵	氣氛	點火
분	位	雙	公尺	張
분	分鐘	雙	公尺	張
분명하다	清楚	不幸	紅色的	相似
분식	麵	氣氛	點火	烤肉
분위기	氣氛	點火	烤肉	不安
불	點火	烤肉	不安	不便
불고기	烤肉	不安	不便	襯衫
불다	風吹	沾上	貼	空著
불쌍하다	不幸	紅色的	相似	貴
불안	不安	不便	襯衫	雨
불편	不便	襯衫	雨	比較
붉다	紅色的	相似	貴	快
붙다	沾上	貼	空著	借
붙이다	貼	空著	借	掉
블라우스	襯衫	雨	比較	肥皂
비	雨	比較	肥皂	視頻
비교	比較	肥皂	視頻	秘密
비누	肥皂	視頻	秘密	拌飯
비다	空著	借	掉	洗
비디오	視頻	秘密	拌飯	飛機
비밀	秘密	拌飯	飛機	房子
비빔밥	拌飯	飛機	房子	洗衣服
비슷하다	相似	貴	快	紅色的
비싸다	貴	快	紅色的	可取的
비행기	飛機	房子	洗衣服	麵包
빌딩	房子	洗衣服	麵包	麵包店
빌리다	借	掉	洗	拔
빠르다	快	紅色的	可取的	端正
빠지다	掉	洗	拔	撿
빨갛다	紅色的	可取的	端正	在深夜
빨다	洗	快	拔	送回
빨래	洗衣服	麵包	麵包店	勺子
빨리	走快點	乾	閃光	猛地
빵	麵包	麵包店	勺子	籃子
빵집	麵包店	勺子	籃子	針
빼다	拔	歡迎	送回	擺好
뽑다	拔	送回	擺好	供上
