량	數量	檸檬	鏡片	出租車
레몬	檸檬	鏡片	出租車	登錄
렌즈	鏡片	出租車	登錄	機器人
렌터카	出租車	登錄	機器人	韻律
로그인	登錄	機器人	韻律	遙控器
로봇	機器人	韻律	遙控器	絲帶
리듬	韻律	遙控器	絲帶	星期四
리모컨	遙控器	絲帶	星期四	門
리본	絲帶	星期四	門	對不起
리터	公升	公尺	公分	公斤
마구	亂	一直	正確地	隨心所欲
마냥	一直	正確地	隨心所欲	如你所願
마늘	大蒜	闗節	馬拉松	地面
마디	闗節	馬拉松	地面	收尾工作
마땅하다	適合的	迷惘	好欺負	滿意
마땅히	正確地	隨心所欲	如你所願	面對
마라톤	馬拉松	地面	收尾工作	按摩
마련	籌措	車輪	法律	部門
마루	地面	收尾工作	按摩	毒品
마무리	收尾工作	按摩	毒品	滑鼠
마사지	按摩	毒品	滑鼠	心態
마약	毒品	滑鼠	心態	暗自
마우스	滑鼠	心態	暗自	心地
마음가짐	心態	暗自	心地	麥克風
마음껏	隨心所欲	如你所願	面對	好像
마음대로	如你所願	面對	好像	正好
마음먹다	下決心	碰	捂住	增長
마음속	暗自	心地	麥克風	一樣
마음씨	心地	麥克風	一樣	摩擦
마이크	麥克風	一樣	摩擦	么兒
마주	面對	好像	正好	終於
마주치다	碰	捂住	增長	卷
마찬가지	一樣	摩擦	么兒	棍子
마찰	摩擦	么兒	棍子	末班車
마치	好像	正好	終於	馬上
마침	正好	終於	馬上	胡亂
마침내	終於	馬上	胡亂	實際
막	馬上	胡亂	實際	乾乾淨淨
막	胡亂	胡亂	實際	乾乾淨淨
막내	么兒	棍子	末班車	見面
막다	捂住	增長	卷	泡
막대기	棍子	末班車	見面	萬元
막상	實際	乾乾淨淨	一聲不吭	盡情
막연하다	迷惘	好欺負	滿意	健全
막차	末班車	見面	萬元	滿分
만	滿	前	-天	-月
만남	見面	萬元	滿分	滿足
만만하다	好欺負	滿意	健全	棒
만원	萬元	滿分	滿足	滿天
만점	滿分	合格	滿足	漫畫書
만족	滿足	客滿	漫畫書	末期
만족감	滿足	漫畫書	末期	爭吵
만족스럽다	滿意	健全	棒	明確
만화책	漫畫書	末期	爭吵	講話
많아지다	增長	卷	泡	勸
말기	末期	爭吵	講話	口語
말끔히	乾乾淨淨	一聲不吭	盡情	隨意
말다	卷	正確	答對	繫
말다	泡	正確	答對	繫
말다툼	爭吵	講話	口語	心
말리다	勸	弄乾	壞掉	猶豫
말리다	弄乾	弄乾	壞掉	猶豫
말없이	一聲不吭	盡情	隨意	隨心所欲地
말투	講話	口語	心	雙薪
말하기	口語	心	雙薪	對面
맘	心	雙薪	對面	拼寫
맘껏	盡情	隨意	隨心所欲地	汪汪
맘대로	隨意	隨心所欲地	汪汪	好不容易
망가지다	壞掉	猶豫	搞砸	滅亡
망설이다	猶豫	搞砸	滅亡	接待
망치다	搞砸	滅亡	接待	挨
망하다	滅亡	接待	挨	應付
맞다	接待	答對	繫	吃飯
맞다	挨	答對	繫	吃飯
맞벌이	雙薪	對面	拼寫	棍子
맞서다	應付	迎接	猜測	託人
맞은편	對面	拼寫	棍子	吸引力
맞이하다	迎接	猜測	託人	承擔
맞춤법	拼寫	棍子	吸引力	辣味
맞히다	猜測	託人	承擔	聞到
맡기다	託人	承擔	聞到	吊在
맡다	承擔	聞到	吊在	吊
맡다	聞到	聞到	吊在	吊
매	棍子	吸引力	辣味	辣湯
매달다	吊在	吊	凝結	停留
매달리다	吊	凝結	停留	放
매력	吸引力	辣味	辣湯	店鋪
매번	每次	無條件	馬上	平常
매운맛	辣味	辣湯	店鋪	苦味
매운탕	辣湯	三溫暖	店鋪	售罄
매장	店鋪	買賣	售罄	媒體
매점	店鋪	售罄	媒體	赤腳
매진	售罄	媒體	赤腳	頭髮
매체	媒體	赤腳	頭髮	腦海
맨	最	別的	三	二十
맨발	赤腳	頭髮	腦海	飼料
맺다	凝結	揮發	停留	動搖
머리칼	頭髮	腦海	飼料	灰塵
머릿속	腦海	飼料	灰塵	暈
머무르다	停留	戲弄	動搖	謀生
머물다	停留	動搖	謀生	餵
머뭇거리다	動搖	謀生	餵	被吃掉
먹고살다	謀生	餵	被吃掉	疏遠
먹이	飼料	灰塵	暈	淤青
먹이다	餵	被吃掉	疏遠	停止
먹히다	被吃掉	疏遠	停止	堵
먼지	灰塵	暈	淤青	菜單
멀미	暈	淤青	菜單	獎牌
멀어지다	疏遠	停止	堵	免除
멀쩡하다	健全	棒	明確	渴
멋대로	隨心所欲地	汪汪	好不容易	悄悄地
멋지다	棒	明確	渴	醜陋的
멍	淤青	菜單	獎牌	便條紙
멍멍	汪汪	好不容易	悄悄地	相當
멎다	停止	堵	免除	聚集
메뉴판	菜單	獎牌	便條紙	旋律
메달	獎牌	便條紙	旋律	媳婦
메모지	便條紙	旋律	媳婦	面
메우다	堵	免除	聚集	趕到
멜로디	旋律	媳婦	面	面談
며느리	媳婦	面	面談	刮鬍子
면	面	面談	刮鬍子	面積
면담	面談	刮鬍子	面積	面試
면도	刮鬍子	面積	面試	面試官
면적	面積	面試	面試官	執照
면접	面試	面試官	執照	離去
면접관	面試官	應試者	執照	鰻魚
면하다	免除	聚集	趕到	認不出
면허	執照	面對	鰻魚	名
면허증	執照	鰻魚	名	面談
멸치	鰻魚	名	面談	命令
명	名	面談	命令	榮譽
명단	面談	命令	榮譽	名片
명령	命令	榮譽	名片	籌款
