나뉘다	分開	搬運	訓斥	變糟
나란히	並排	每時每刻	太	廣泛地
나르다	搬運	訓斥	變糟	出去
나름	取決於	訓斥	變糟	出去
나무라다	訓斥	變糟	出去	向前
나물	野菜	樹枝	葉子	蝴蝶
나뭇가지	樹枝	葉子	蝴蝶	刀
나뭇잎	葉子	蝴蝶	刀	落葉
나비	蝴蝶	刀	落葉	壁爐
나빠지다	變糟	出去	向前	好轉
나서다	出去	向前	好轉	出現
나아가다	向前	好轉	出現	飄
나아지다	好轉	出現	飄	飛揚
나이프	刀	落葉	壁爐	戰亂
나타내다	出現	飄	飛揚	飛走
낙엽	落葉	壁爐	戰亂	暖房
난로	壁爐	戰亂	暖房	翅膀
난리	戰亂	暖房	翅膀	男
난방	暖房	翅膀	男	南
난처하다	尷尬的	鋒利的	破舊	奇怪的
날개	翅膀	男	南	兄弟姐妹
날리다	飄	飛揚	飛走	飛來
날리다	飛揚	飛揚	飛走	飛來
날아가다	飛走	飛來	降低	生
날아오다	飛來	降低	生	拿出
날카롭다	鋒利的	破舊	奇怪的	冷靜
낡다	破舊	奇怪的	冷靜	寛容
남	男	男女	南大門	弟弟
남	南	男女	南大門	弟弟
남매	兄弟姐妹	南美洲	南方	南北
남미	南美洲	南方	南北	浪費
남부	南方	南北	浪費	下個月
남북	南北	浪費	下個月	裡面
낭비	浪費	下個月	裡面	內外
낮추다	降低	生	拿出	眺望
낯설다	奇怪的	冷靜	寛容	寬裕
낳다	生	拿出	眺望	放下
내	-內	你	你們	他
내내	每時每刻	太	廣泛地	再次
내놓다	拿出	眺望	放下	向下看
내다보다	眺望	放下	向下看	飛落
내달	下個月	裡面	內外	後年
내려놓다	放下	向下看	飛落	伸
내려다보다	向下看	飛落	伸	丟
내려앉다	飛落	伸	丟	放出去
내밀다	伸	丟	放出去	推舉上
내버리다	丟	放出去	推舉上	拿出
내보내다	放出去	推舉上	拿出	趕到
내부	裡面	內外	後年	冷凍
내성적	內向的	合乎邏輯的	代表的	文化的
내세우다	推舉上	拿出	趕到	晾
내외	內外	後年	冷凍	冷氣
내주다	拿出	趕到	晾	擴大
내쫓다	趕到	晾	擴大	逃跑
내후년	後年	冷凍	冷氣	冷水
낼모레	後天	全	略	我自己
냉동	冷凍	冷氣	冷水	那邊
냉방	冷氣	冷水	那邊	寬度
냉수	冷水	那邊	寬度	正方形
냉정하다	冷靜	寛容	寬裕	驚人
