[갈]색	棕色
[검은]색 = 까만색	黑色
[검정]	黑色
밤하늘이 [까맣다]	夜空「漆黑」
병아리가 [노랗다]	小雞是「黃色的」
[보라]색	紫色
색깔이 [붉다]	紅色的
사과가 [빨갛다]	蘋果是「紅色的」
[색]:색깔	顏色
[색깔]이 진하다	「顏色」太濃
[주황]색	朱黃色
[초록]색	草綠色
하늘이 [파랗다]	天「藍」
나무가 [푸르다]	樹是「綠的」
[하늘]색	天藍色
[하얀]색	白色(人工全白）
눈이 [하얗다]	雪是「白的」
[회]색	灰色
[흰]색	白色（自然白）
[까만]색 = 검은색	黑色（全黑）
[노란]색	黃色
[녹]색	綠色
[분홍]색	粉紅色
[빨간]색	紅色
[파란]색	藍色
색깔이 [검다]	黑色的
[노랑]:색	黃色的
단풍이 [물들다]	楓葉「染紅」
[밤색] 머리카락	「棕色的」頭髮
[빛깔]이 곱다	「顏色」美麗
[빨강]으로 칠하다	用「紅色顏料」塗
얼굴이 [빨개지다]	臉「紅」
[연두색] 새싹	「草綠色」幼苗 （軟豆色）
[자주색]으로 색칠하다	用「紫朱色」塗色
[초록]으로 칠하다	塗上「草綠色」
[파랑]	藍
[하양]으로 색칠하다	上「白色」
색깔이 [희다]	顏色是「白色的」
[흑백]의 대비	「黑白」對比
