걸음이 [느리다]	走得很「慢」
시계가 [늦다]	錶「遲了」
걸음이 [빠르다]	腳步「很快」
[빨리] 걷다	走「快點」
준비를 [서두르다]	「匆忙」準備
[어서] 일어나	「趕快」起來
집이  [오래되다]	房子「久遠」
[천천히] 가다	「慢慢」去
[가끔] 보다	「偶爾」看
[계속] 달리다	「一直」跑
[늘] 만나다	「常」見
[언제나] 함께	「總是」一起
[자꾸] 반복하다	「一直」重覆
[자주] 만나다	「常」見面
[항상] 같다	「總是」一樣
오래 [전]	很久「前」
[갑자기] 나타나다	「突然」出現
삼 [개월]	三「個月」
[계절]이 바뀌다	「季節」轉換
[곧] 가다	「馬上」去
[과거]를 잊다	忘掉「過去」
[그날] 일	「那一天」的事
[그동안]	「這段時間」過得很好
[그때]	那個年代
[그럼]	然後
[그저께] 밤	「前天」晚上
[금방]	剛才 （今方）
[기간]이 지나다	超過「期間」
[나중]에 깨닫다	「後來」才意識到
[나흘]이 걸리다	費時「四天」
[낮]:밤	「白天」↔晚上
[다음] 날	「隔」一天
[다음날]에 만나다	「隔天」見
[달력]을 걸다	掛「日曆」
[도착] 시간	「到達」時間
[동시]에 일어나다	「同時」站起來
며칠 [동안]	幾天「期間」
어릴 [때]	小「時」
[매년] 증가하다	「每年」增加
[매달] 만나다	「每個月」見面
[매일] 만나다	「每天」見面
[매주] 만나다	「每週」見面
[며칠]이 걸리다	花了「幾天」
[모레]:시간	後天
[미래]가 밝다	「未來」很光明
[미리] 알리다	「提前」通知
[바로] 시작하다	「立即」開始
[밤]이 깊다	「夜」深了
[방금] 가다	「馬上」去
겨울 [방학]	寒「假」
[사계절]이 뚜렷하다	「四季」分明
[사흘]:시간	三天
[새벽]에 일어나다	「清晨」起床
[새해]가 다가오다	「新年」近了
[시간]이 걸리다	花幾「小時」
[시간표]를 짜다	訂「時程表」
[시작]:끝	「開始」<> 結束
[아까] 먹다	「剛」吃過
[아직] 없다	「還」沒有
[어젯밤]:시간	昨天晚上
[언제]예요?	什麼時候
[연말]이 되다	到了「年末」
[연휴] 동안 쉬다	在「連假」休息
[열흘]:시간	十天
[옛] 친구	「老」朋友
먼 [옛날]	很久以前
[오래] 쓰다	花了「很久」
[오래간만]에 만나다	好久不見
[오랜만]에 만나다	好久不見
[오랫동안] 사귀다	交往「很久」
[요일]:시간	星期
[요즘]:시간	最近
[이날] 공연	「當天」的演出
[이따가] 가다	「待會」去
[이때]를 놓치다	錯失「良機」
[이르다]:빠르다	「早」：晚
[이번] 주	「這」周
[이전]의 경험	「以前的」經驗
[이제]부터	「現在」開始
[이틀]이 지나다	過了「兩天」
[이후]의 삶	「以後」的人生
[일주일]이 걸리다	一周
[일찍] 일어나다	「早」起
[잠깐] 기다리다	等「一下」
[잠시] 기다리다	「暫時」等一下
[장마]가 오다	「梅雨季」來了
[저녁]이 되다	到了「晚上」
[저번] 주	上「週」
[주말]을 보내다	過「週末」
출근 [준비]	上班「準備」
[지각]을 하다	遲到
[지금]부터 	「現在」開始 （只今）
[지난번]:시간	上次
[지난주]:시간	上個星期
[처음] 시작하다	「先」開始
[첫] 만남	「初次」見面
새해 [첫날]	新年「第一天」
[최근]에 들다	最近
[출발]:도착	出發
[하루]를 보내다	過了「一天」
[해마다] 만나다	「每年」見面
[현재] 하는 일	「現在的」工作 （現在）
오 분 [후]	五分「後」
[휴일]에 쉬다	在「假日」休息
시간이 [충분하다]	時間「充足」
[금요일]	星期五
[목요일]	星期四
[수요일]	星期三
[월요일]	星期一
[일요일]	星期日
[토요일]	星期六
[화요일]	星期二
[구월]	九月
[사월]	四月
[삼월]	三月
[시월]	十月
[십이월]	十二月
[십일월]	十一月
[오월]	五月
몇[월]	幾「月」
[유월]	六月
[이월]	二月
[일월]	一月
[지난달]	上個月
[칠월]	七月
[팔월]	八月
사월 [호] 잡지	三月「號」雜誌
[가을]	秋天
[겨울]	冬天
[내년] 여름	「明年」夏天
[내일]로 미루다	延到「明天」
[봄]	春天
[아침]이 되다	到「早晨」
[어제]	昨天
[여름]	夏天
[오늘]	今天
[오전]	上午
[오후]	下午
[올해]	今年
[작년]	去年
[지난해]	去年
[내후년] 까지 지속되다	延至「後年」
[늦가을]의 날씨	「深秋」的天氣
[늦겨울]이 지나다	過「晚冬」
[늦봄]이 지나다	過「晚春」
[반달]이 뜨다	升起「一彎明月」
[세월]이 흐르다	「歲月」流逝
[수년]이 흐르다	經過「幾年」（數年）
[양력]:음력	陽曆
[여름철] 날씨	「夏季」天氣
[연간] 수입	「年度」收入
[올여름] 날씨	「夏天」天氣
[월말]이 되다	到「月底」
[음력]:양력	「農曆」：陽曆
[장마철]이 다가오다	「雨季」近了
[재작년] 여름	「去年」夏天
[초가을] 바람	「初秋」的風
[초겨울] 추위	「初冬」的寒意
[초봄]의 바람	「早春」的風
[초여름] 더위	「初夏」熱氣
[한겨울]이 지나가다	「隆冬」過去
[한여름]을 지내다	過了「盛夏」
[고속]으로 달리다	「高速」跑
일이 [늦어지다]	工作「遲延」
시기를 [늦추다]	「延誤」時機
[뒤늦은] 후회.	「遲來的」悔悟
내일로 [미루다]	「延到」明天
[서서히] 나타나다	「慢慢地」出現
[얼른] 일어나다	「匆忙」起床
[재빨리] 도망치다	「迅速地」逃
[점차] 좋아지다	「逐步地」變好
[차차] 좋아지다	「漸漸」變好
[차츰] 나아지다	「漸漸」好起來
[간혹] 생기다	「有時」想起 （間或）
[갑작스러운] 일	「突如其來的」事
[고정] 수입	「固定」收入
[곧잘] 하다	「經常」做
[교대] 근무	「交替」工作
건전지 [교체]	乾電池「更換」
[규칙적] 생활	「規律的」生活
손님이 [끊임없다]	客人「絡繹不絕」
이어지다 [끊임없이] 	連綿「不絕」
[더욱더] 높아지다	越來越高
[때때로] 변하다	「有時」變化
[때로]는 느끼다	「時有」感覺
[매번] 찾다	「每次」找
[모처럼] 웃다	「難得」一笑
[번갈아] 입다	「輪流」穿
[새로이] 시작하다	「重新」開始
[수시로] 열다	「隨時」開
3년 [연속] 우승.	「連續」三年獲勝
[자꾸만] 귀찮게 하다	「一直」打擾
