[냄새]를 맡다	聞「味道」
[레스토랑]에서 먹다	在「餐廳」用餐
[메뉴]를 고르다	選擇「菜單」
[배달]을 시키다	叫「外賣」
[병]을 깨다	開「瓶」
[수저]를 놓다	放下「湯匙」
[식사]를 하다	用餐
껌을 [씹다]	「嚼」口香糖
[양식]:한식	「洋食」：韓食
[양식집]에 가다	去「西式餐廳」
[요리] 방법	「料理」方法
[음식점]에서 식사하다	在「餐廳」用餐
[일식]	日式食物
[일식집]에서 먹다	在「日式餐廳」吃
진지를 [잡수시다]	「用」膳
[점심]에 만나다	在「中午」見面
[점심때]가 되다	「午餐時間」到了
[점심시간]이 되다	「午餐時間」到了
[접시]에 담다	裝「盤子」
[중국집]에 주문하다	在「中國餐廳」點餐
[칼]로 자르다	用刀「切」
[한식]을 먹다	吃「韓食」
[한식집]:음식점	韓式餐廳
[식당]에서 식사하다	在「餐廳」吃飯
밥을 [굶다]	「餓」肚子
하루 세 [끼]	一日三「餐」
[다방]에서 만나다	在「咖啡廳」見面
겨우 [먹고 살다]	勉強「維生」
밥을 [먹이다]	「餵」飯
양이 늑대에게 [먹히다]	羊被狼「吃掉」
[메뉴판]에서 고르다	挑「菜單」
[배부르게] 먹다	吃的「飽飽地」
[뷔페]에서 밥을 먹다	在「自助餐」吃飯
침을 [삼키다]	「吞」口水
[상]을 차리다	擺「桌」
[세트]로 구입하다	「配套」購買
[술자리]에 모이다	「酒會」聚集
[식당가]에서 먹다	在「餐廳」吃
구걸해서 [얻어먹다]	討飯吃
[외식]을 나가다	外出就餐
[요리법]을 개발하다	開發「料理法」
[입맛]이 좋다	「胃口」好
소를 [잡아먹다]	用手「抓來吃」
[정식] 회원	「正式」會員
[중식] 음식	「中式」飲食
[차림표]를 주다	給「菜單」
술에 [취하다]	酒「喝醉了」
[패스트푸드]를 먹다	吃「快餐」
[과식]으로 배탈이 나다	「過食」而鬧肚子
[밥맛]이 좋다	「食慾」好
[식비]를 내다	付「伙食費」
[식사량]을 줄이다	減少「食物量」
[식욕]이 떨어지다	食慾「減少」
[편식]이 심하다	「偏食」嚴重
