[간식]을 먹다	吃「零食」（間食）
[과자]를 먹다	「餅乾」（果子）
[껌]을 씹다	嚼「口香糖」
[빵]을 먹다	吃「麵包」
[사탕]을 먹다	吃「糖果」
[송편]:음식	松餅
[식빵]을 먹다	吃「麵包」
[아이스크림]을 먹다	吃「冰淇淋」
[초콜릿]을 먹다	吃「巧克力」
[케이크]를 먹다	吃「蛋糕」
[튀김]을 먹다	吃「油炸食物」
[야채]를 먹다	蔬菜(野菜）
[오이]	黃瓜
[인삼]을 달이다	熬「人參」
[콩]	豆子
[토마토]	番茄
[감]	柿子
[과일]을 깎다	削「水果」
[귤]을 까다	剝「橘子」
[딸기]	草莓
[바나나]	香蕉
[배]를 먹다	吃「梨子」
[사과]	蘋果
[수박]을 먹다	吃「西瓜」
[오렌지]	柳橙
과일이 [익다] 	水果「成熟」了
[참외]	香瓜
[포도]	葡萄
[녹차]를 마시다	喝「綠茶」
[막걸리]를 마시다	喝「馬格利酒」
[맥주]를 마시다	喝「啤酒」
[물]을 마시다	喝「水」
[사이다]를 마시다	喝「汽水」
[소주]를 마시다	喝「燒酒」
[술]을 마시다	喝「酒」
[우유]를 마시다	喝「牛奶」
[음료]를 마시다	喝「飲料」
[음료수]:물	喝「飲料」
[주스]를 마시다	喝「果汁」
[차]를 마시다	喝「茶」
[찬물]을 마시다	喝「冷水」
[커피]를 마시다	喝「咖啡」
[콜라]를 마시다	喝「可樂」
[한잔] 마시다	喝「一杯」
[홍차]를 마시다	喝「紅茶」
[갈비]를 먹다	吃「排骨」
[갈비탕]을 먹다	喝「排骨湯」
[감자]	馬鈴薯
[계란]을 먹다	吃「雞蛋」
[고기]를 먹다	肉
[국]을 끓이다	熬「湯」
[국수]를 먹다	吃「麵」
[김]을 먹다	吃「海苔」
[김밥]을 싸다	包「海苔飯捲」
[김치]를 담그다	醃「泡菜」
[김치찌개]를 끓이다	煮「泡菜鍋」
[냉면]을 먹다	吃「冷麵」
[달걀]을 삶다	煮「雞蛋」
[닭고기]를 볶다	炒「雞肉」
[돈가스]를 먹다	吃「豬排」
[돼지고기]를 먹다	吃「豬肉」
[된장찌개]를 먹다	吃「味噌鍋」
[두부]를 먹다	吃「豆腐」
[떡]	年糕
[떡국]	年糕湯
[떡볶이]	炒年糕
[라면]:음식	拉麵
[만두]	餃子
[무]를 심다	種「蘿蔔」
[미역국]을 끓이다	熬「海帶湯」
[반찬]을 먹다	吃「小菜」
[밥]을 하다	做「飯」
[배추]를 다듬다	醃「白菜」
[볶음밥]	炒飯
[분식]을 먹다	吃「麵」
[불고기]	烤肉
[비빔밥]	拌飯
[삼겹살]	五花肉
[삼계탕]	參雞湯
[상추]	生菜
[샌드위치]	三明治
[생선]을 굽다	烤「魚」
[설렁탕]:음식	雪濃湯
[소고기]를 먹다	吃「牛肉」
[순두부찌개]	嫩豆腐鍋
[스파게티]:음식	義大利麵
[식품]을 섭취하다	攝取「食品」
[우동]을 먹다	吃「烏龍麵」
[음식]을 먹다	吃「食物」
[자장면]:음식	炸醬麵
[잡채]:음식	雜菜
[짬뽕]:음식	炒碼麵
[찌개]를 끓이다	燉「火鍋」
[채소]를 먹다	吃「蔬菜」
[치킨]:음식	雞肉
[칼국수]:음식	刀削麵
[탕수육]:음식	糖醋肉
[피자]를 주문하다	訂「披薩」
[햄버거]를 먹다	吃「漢堡」
[후식]을 먹다	吃「飯後甜點」
[당근]을 먹다	吃「紅蘿蔔」
[마늘]을 까다	剝「大蒜」
[밤]을 따다	採「栗子」
[버섯]을 재배하다	栽培「香菇」
[벼]를 베다	割「水稻」
[시금치]를 무치다	拌「菠菜」
[양파]를 볶다	炒「洋蔥」
[옥수수]를 먹다	吃「玉米」
[콩나물]을 무치다	涼拌「豆芽」
[파]를 썰다	切「蔥」
[호박]:식물	南瓜
과일 [껍질]	水果「皮」
[레몬]	檸檬
[복숭아]를 먹다	吃「桃子」
[사과]를 하다	道歉
[호두] 열매	「核桃」果實
[냉수]를 마시다	喝「冷水」
[보리차]를 마시다	喝「麥茶」
[와인]을 마시다	喝「葡萄酒」
[요구르트]를 마시다	喝「優酪」
[음주] 운전	酒後開車
[인삼차]를 마시다	喝「人參茶」
[포도주]를 마시다	喝「葡萄酒」
[게]를 먹다	吃「螃蟹」
[고구마]를 캐다	挖「地瓜」
[고등어] 구이	烤「青花魚」
[국물]을 떠먹다	舀「湯」
[나물]을 다듬다	整理「野菜」
[땅콩]을 까먹다	剝「花生」吃
[매운탕]을 먹다	吃「辣湯」
벽의 [면]	牆「面」
[멸치]를 볶다	炒「鰻魚」
[새우]를 먹다	吃「蝦」
[소시지]를 먹다	吃「香腸」
[아침밥]을 먹다	吃「早餐」
[안주]를 먹다	吃「下酒菜」
[양배추]를 먹다	吃「高麗菜」
[오징어]를 먹다	吃「烏賊」
[죽]을 끓이다	煮「稀飯」
[해물]로 요리를 만들다	用「海鮮」做菜
[해산물]을 맛보다	嘗「海鮮」
[회]를 먹다	吃「生魚片」
[쇠고기]를 굽다	烤「牛肉」
[음식물]을 삼키다	點「飲食」
