[마당]이 넓다	「院子」很寬
[방]이 넓다	「房間」很大
[방문]을 닫다	闗上「房門」
[벽]에 걸다	掛在「牆上」
[부엌]에서 요리하다	在「廚房」做菜
[엘리베이터]를 타다	搭「電梯」
[정문]으로 다니다	從「前門」進出
[정원]을 가꾸다	裝飾「花園」
[집]에 살다	住在「家」裡
[창문]을 열다	開「窗」
[침실]에서 자다	在「臥室」睡覺
[화장실]에 가다	去「衛生間」
[거실]	客廳
[계단]을 오르다	爬「樓梯」
[문]을 열다	開「門」
2[호실]	2「號房」
[주방]에서 요리하다	在「廚房」料理
[담]을 쌓다	砌「牆」
[대문]을 열다	打開「大門」
[뒷문]이 열리다	開「後門」
[땅바닥]에 놓다	放在「地板」
[뜰]을 거닐다	在「院子」閒逛
[마루]에 앉다	坐在「地面」
[방바닥]에 눕다	躺在「地面」
[번지]:주소	門牌
[베란다]로 나가다	出去「陽台」
[복도]로 나가다	出去「走廊」
[새집]으로 이사하다	搬「新家」
[시멘트]가 굳다	「水泥」乾了
[안방]에서 자다	在「內房」睡覺
[오피스텔]에 살다	住「商務公寓」
[욕실]에서 씻다	在「浴室」洗
[유리창]을 닦다	關「窗」
[주택]을 짓다	蓋「住宅」
[지붕]에 올라가다	爬上「屋頂」
[지하실]로 내려가다	下去「地下室」
[창]을 열다	開「窗戶」
[창가]에 앉다	坐在「窗邊」
[창밖]을 보다	看「窗外」
[천장]이 높다	「天花板」高
[현관]에 들어서다	進入「玄闗」
