집에 [가져가다]	「帶去」家裡
학교로 [가져오다]	「帶來」學校
[건너가다]	越過
길을 [건너다]	「穿越」馬路
길을 [걷다]	「走」路
학교에 [걸어가다]	「走去」學校
집에 [걸어오다]	「走回」家
[걸음]이 느리다	「腳步」慢
밖으로 [나가다]	「出去」外面
밖에 [나오다]	「出來」外面
새가 [날다]	鳥在「飛」
나비가 [날아다니다]	蝴蝶「飛來飛去」
아래로 [내려가다]	「下去」下面
아래로 [내려오다]	「下來」下面
학교에 [다녀오다]	「去一趟」學校
빨리 [달리다]	「跑」快點
아이를 [데려가다]	「帶」小孩「去」
친구를 [데려오다]	「帶」朋友「來」
바퀴가 [돌다]	輪子在「旋轉」
바퀴를 [돌리다]	輪子「轉動」
바퀴가 [돌아가다]	輪子「轉動」
학교에서 [돌아오다]	從學校「回來」
서점에 [들르다]	「到」書店
방으로 [들어가다]	「進去」房間
학교로 [들어오다]	「進來」學校
어디론가 [떠나다]	「離開」去哪
낭떠러지로 [떨어지다] 	「掉下」懸崖
운동장을 [뛰다]	「跑」操場
학교로 [뛰어가다]	「跑去」學校
통로가 [막히다]	道路「被封鎖」
[올라가다]:나무에	「爬上」樹「去」
[올라오다]:산에	「爬上」山「來」
[외출]을 준비하다	準備「外出」
자리에서  [일어서다]	從座位「起來」
지하철 [입구]	地鐵「入口」
시간이 [지나가다]	時間「經過」
시간이 [지나다]	時間「經過」
교실로 [찾아가다]	「去找」教室
수첩을 [찾아보다]	「來找」手冊
손님이 [찾아오다]	客人「來訪」
[출구]로 나가다	出「出口」
[출입]을 통제하다	控制「出入」
학교에 [가다]	「去」學校
한국에 [오다]	「來」韓國
먼지가 [가라앉다]	灰塵「落下」
물건을 [가져다주다]	「帶來」東西
도시를 [거치다]	「經過」都市
공이 [구르다]	球在「滾」
아기가 [기다]	幼兒「爬行」
틈으로 [끼어들다]	「鑽進」縫隙
이삿짐을 [나르다]	「搬運」搬家行李
거리에 [나서다]	「上」街
앞으로 [나아가다]	向前「走」
눈발이 [날리다]	雪花「飄飄」
깃발을 [날리다]	花粉「飛揚」
새가 [날아가다]	鳥「飛走」
새가 [날아오다]	鳥「飛來」
책을 [내려놓다]	「放下」書
나비가 [내려앉다]	蝴蝶「落在」
밖으로 [내보내다]	「放出去」外面
밖으로 [내쫓다]	「趕到」外面
해를 [넘기다]	「跨過」年度
막대기가 [넘어가다]	竿子「倒了」
산을 [넘어서다]	「越過」山頭
나무가 [넘어오다]	樹「倒了」
문 쪽으로 [다가가다]	「走近」門邊
우리 쪽으로 [다가오다]	「走近」我們這
집에 [다녀가다]	「回」家「一趟」
빠르게 [달려가다]	飛「奔」
버스로 [달려들다]	「趕上」巴士
먼 길을 [달려오다]	遠道「而來」
범인이 [달아나다]	犯人「逃跑」
열차 시간에 [대다]	列車時間內「趕到」
[데리다] 가다	「帶」去
[도망]을 다니다	逃脫
도둑이 [도망가다]	小偷「逃走」
감옥에서 [도망치다]	從監獄「逃走」
거리를 [돌아다니다]	「逛」街
집으로 [되돌아가다]	「返回」家
편지가 [되돌아오다]	信「被退回」
대열에서  [뒤떨어지다]	「落後」隊伍
차량이 [드나들다]	車輛「來去」
소식이 [들려오다]	「傳回」消息
집에 [들어서다]	「走進」家裡
친구를 [따라가다]	「跟」朋友「去」
졸졸 [따라다니다]	緊緊「跟隨」
뒤를 [따라오다]	「跟在」後面
고향을 [떠나가다]	「離開」故鄉
고향을 [떠나오다]	「背井離」鄉
태양이 [떠오르다]	太陽「升起」
빨리 [뛰다]	「跑」快點
집 밖으로 [뛰어나오다]	「跑出」家門
아래로 [뛰어내리다]	「跳」下
담을 [뛰어넘다]	「翻」牆
운동장에서 [뛰어놀다]	在操場「跑來跑去玩」
집안을 [뛰어다니다]	在家「跑來跑去」
강물에 [뛰어들다]	「跳進」河中
달이 [뜨다]	月亮「升起」
호텔에서 [머무르다]	在飯店「停留」
휴게소에 [머물다]	「停在」休息所
구석으로 [몰다]	「趕到」角落
사람들이 [몰려들다]	人群「蜂湧而至」
피서객들이 [몰려오다]	避暑客「蜂湧而至」
구석으로 [몰리다]	「被逼到」角落
집에 [바래다주다]	「送回」家
[발걸음]이 느리다	「步履」緩慢
[발길]을 돌리다	掉轉「腳步」
시내를 [벗어나다]	「出」城
바람이 [불어오다]	風「吹來」
[비상구]로 대피하다	透過「緊急出口」疏散
자리를 [비키다]	「讓出」位子
감옥에서 [빠져나가다]	從監獄「逃出去」
몰래 [빠져나오다]	偷偷「逃出來」
하루하루 [살아가다]	一天天「過日子」
간신히 [살아오다]	艱苦地「活下來」
물가 [상승]	物價「上升」
옷깃이 [스치다]	「擦過」衣角
부잣집에 [시집가다]	「嫁去」有錢人家
말이 [오가다]	話「談得來」
계단을 [오르내리다]	「上下」樓梯
계단에 [올라서다]	「爬上」樓梯
비행기에 [올라타다]	「上」飛機
난로 위에 [올려놓다]	「放上」暖爐
이삿짐 [운반]	行李「搬運」
단체를 [이끌다]	「帶」團
장소 [이동]	場所「移動」
[자동]으로 움직이다	「自動」移動
활동이 [자유롭다]	活動「自由」
집에서 [쫓겨나다]	「趕出」家門
경찰에게 [쫓기다]	被警察「追」
범인을 [쫓다]	「追」犯人
회사로 [쫓아가다]	「趕去」公司
마을에서 [쫓아내다]	從村子「踢出去」
선배를 [쫓아다니다]	「跟著」前輩
친구가 [쫓아오다]	朋友「追上來」
비상 [탈출]	緊急「逃生」
국경 [통과]	過境「通過」
바람이 [통하다]  	「透」風
책임을 [피하다]	「逃避」責任
[휴대]가 간편하다	「攜帶」方便
시냇물이 [흘러가다]	溪水「流過」
연기가 [흘러나오다]	煙「冒出來」
바닥에 [떨어뜨리다]	「掉在」地上
[이리저리] 돌아다니다	「來回」轉
