음악을 [듣다]	「聽」音樂
소리가 [들리다]	「聽到」聲音
시끄럽게 [떠들다]	大聲吵鬧
길을 [묻다]	「問」路
길을 [물어보다]	「問一下」路
친구를 [부르다]	「叫」朋友
아기가 [울다]	嬰兒在「哭」
활짝 [웃다]	開懷「大笑」
소리를 [지르다]	「喊出」聲
자전거가 [넘어지다]	自行車「倒下」
바닥에 [눕다]	「躺在」地板
물을 [마시다]	「喝」水
밥을 [먹다]	吃「飯」
하늘을 [바라보다]	「抬頭看」天空
강에 [빠지다]	「掉到」河裡
똑바로 [서다]	「站」直
자리에서 [세우다]	從椅子上「站起來」
그늘에서 [쉬다]	在陰涼處「休息」
숨을 [쉬다]	喘息
몸을 [움직이다]	「活動」身體
공을 [차다]	「踢」球
돈을 [가지다]	「攜帶著」錢
돈을 [갖다]	「拿」錢
가방에서 [꺼내다]	從包包中「取出」
책을 [넣다]	把書「放進去」
펜을 [놓다]	「放下」筆
문을 [닫다]	「關」門
공을 [던지다]	「扔」球
책상 위에 [두다]	「放」在桌上
가방을 [들다]	「提著」包包
손을 [만지다]	「摸」手
가방을 [메다]	「背著」包包
장난감을 [모으다]	「收集」玩具
문을 [밀다]	「推」門
[박수]를 치다	拍手
휴지를 [버리다]	「丟」垃圾
먼지가 [붙다]	「沾上」灰塵
물을 [섞다]	「摻」水
짐을 [싸다]	「打包」行李
아기를 [안다]	「抱」小孩
물건을 [얻다] 	「取」貨
문을 [열다]	「開」門
문이 [열리다]	門是「開著的」
머리를 [자르다]	「剪」頭髮
손을 [잡다]	「㧓住」手
쓰레기를 [줍다]	「撿」垃圾
도장을 [찍다]	「蓋」印章
책상을 [치다]	「拍」桌
불을 [켜다]	「開」燈
바이올린을 [켜다]	「拉」小提琴
텔레비전을 [틀다]	「開」電視
손을 [흔들다]	「揮」手
손가락으로 [가리키다]	用手指「指」
불을 [끄다]	「關」火
버튼을 [누르다]	「按下」按鈕
신발 끈을 [매다]	「繫」鞋帶
로션을 [바르다]	「塗」乳霜
우표를 [붙이다]	「貼」郵票
이를 [빼다]＝뽑다	「拔」牙
이를 [뽑다] = 빼다	「拔」牙
글자를 [쓰다]	「寫」字
종이를 [접다]	「折」紙
책을 [펴다]	「翻」書
눈을 [감다]	「閉」眼
눈을 [뜨다]	「睜開」眼睛
산이 [보이다]	山「被看到了」（被動詞）
동생에게 사진을 [보이다]	「讓」弟弟「看」照片（使動詞）
어른을 [뵙다]	「拜見」大人（보다的敬語）
하늘을 [쳐다보다]	「仰望」天空
그림을 [걸다]	「掛」畫
그림이 [걸리다]	「掛」畫
의자에 [앉다]	「坐」在椅子上
신문을 [보다]	「看」報
음악을 [들려주다]	「給人聽」音樂
냄새를 [맡다]	「聞到」味道
사탕을 [깨물다]	「咬住」糖果
입을 [다물다]	「閉」嘴
때가 [묻다]	「沾」灰塵
시체를 [묻다]	「埋」屍體
개가 [물다]	狗「咬」
[물음]에 답하다	回答「提問」
침을 [뱉다]	唾棄
빨대로 [빨다]	用吸管「吸」
크게 [소리치다]	大聲「吆喝」
[수다]를 떨다	嘮叨
목이 [쉬다]	嗓子「啞」
선생님께 [여쭈다]	「請教」老師
큰 소리로 [외치다]	大聲「喊出來」
혼자 [중얼거리다]	自語自語
음식을 [토하다]	吐出「飲食」
[한숨]을 쉬다	嘆氣
짐이 [들리다]	行李「被抬起」
잔디가 [밟히다]	草地「被踩踏」
허리를 [구부리다]	「彎」腰
허리를 [굽히다]	「彎」腰
벽에 [기대다]	「靠」在牆上
몸을 [기울이다]	「側」身
고구마를 [까먹다]	「剝」甘薯「吃」
[꼼짝] 못하다	「動彈」不得
무릎을 [꿇다]	「跪」下
고개를 [끄덕이다]	「點」頭
소름이 [끼치다]	「起」雞皮疙㾑
건강이 [나빠지다]	健康「惡化」
파도가 [높아지다]	波浪「上升」
건물을 [높이다]	江水「升高」
침대에 [눕히다]	「臥」床
변명을 [늘어놓다]	「一直」辦解
차가 [늘어서다]	車子「排成一列」
창문이 [닫히다]	「關閉」窗戶
아이를 [달래다]	「哄」孩子
기억을 [되찾다]	「找回」記憶
뒤를 [따르다]	「跟在」後面
뒤로 [물러나다]	往後站
뒤로 [물러서다]	往後站
친구를 [반기다]	「歡迎」朋友
브레이크를 [밟다]	「踩」煞車
그릇을 [비우다]	「清空」飯碗
남의 의견을 [비웃다]	「嘲笑」別人的意見
바다에 [빠뜨리다]	「落入」大海
물에 [빠트리다]	「掉進」水裡
재산을 [빼앗기다]	財產「被搶」
돈을 [빼앗다]	錢「被搶」
돈을 [뺏다]	「搶」錢
문제가 [생겨나다]	「出現」問題
친구를 [속이다]	「欺騙」朋友
모임에 [속하다]	屬於「團體」
고개를 [숙이다]	「低」頭
물건을 [숨기다]	「隱藏」東西
산 속으로 [숨다]	「躲在」山裡
책들이 [쌓이다]	「疊」書本
머리를 [쓰다듬다]	「摸」頭髮
나무가 [쓰러지다]	樹木「倒下」
