[그분]을 만나다	見「這個人」
[나]	我(平語）
[남]:타인	別人
[남녀] 평등	「男女」平等
[남성]:여성	「男性」↔女性
[남자]:여자	「男子」↔男生
[남학생]:여학생	「男學生」↔女學生
[내]가	「我」要（平語）
[너]	你（平語）
[너희] 가족	「你們」一家人
[네] 가	「你」要
[노인]을 공경하다	尊敬「老人」
거기  [누구] 계세요?	那邊有「誰」在嗎？
선생님 [댁]	老師的「家」（敬語）
[선배]:후배	「前輩」<> 後輩
[성]:김 씨	姓金的
[성함]을 묻다	問「姓名」
[손님]이 없다	沒有「客人」
나 [스스로]	我「自己」
[시민]을 설득하다	說服「市民」
마이클 [씨]	Mike 「氏」
[아가씨]:아줌마	「小姐」：大嬸
[아무도]	誰也
[아이]:어른	孩子
[아저씨]:아주머니	「大叔」：大嬸
[아주머니]:아저씨	老太太
[아줌마]:아주머니	大嬸
[애]:어른	嬰兒
[애인]:연인	情人
[어린아이]:와 놀다	和「小孩」玩
국민 [여러분]	「每位」國民
[여성]:남성	女士
[올림]:편지	閣下
[외국인]을 만나다	見到「外國人」
[우리] 가족	「我們」家人
[우리나라] 사람	「我們國家」的人
[이름]을 묻다	問「姓名」
[이분]	這位
[자식]을 기르다	培養「孩子」
[저]	我（自謙語）
[저]	那個
[저분]	那個人
[저희] 회사	「我們」公司（自謙語）
[제]	我的（自謙語）
젊은 [청년]	小「伙子」
[친구]를 만나다	和「朋友」見良
[혼자] 살다	「一個人」住
[가정주부]로 살다	當「家庭主婦」
[걔]:그 아이 	這小孩（그 아이) 的略語
[귀하]:편지	閣下
[그녀]	她
[그대]를 만나다	見到「你」（歌詞中使用）
[남]자	男性
나쁜 [녀석]	壞「傢伙」
[노약자]를 보호하다	保護「老人」
홍길동 [님]	洪吉童「先生」
[당신]	你（尊稱）
[대가]를 지불하다(물건)	付出「代價」
연구 [대상]	研究「對象」
합격 [대상자]	合格「對象」
나  [대신] 너	我「代替」你
재미 [동포]	旅美「同胞」
[맨] 꼭대기	「最」上面
김 [모] 씨	金 「某」氏
[모자]가 닮다	「母子」相像
[미성년자] 관람 불가	「未成年」不可以看
[별명]을 짓다	取「暱稱」
[본인] 명의	「本人」名義
중년 [부인]	中年「婦人」
씩씩한 [사나이]	剛健的「男子漢」
[사내] 녀석	大男人
[사용자]를 모집하다	募集「使用者」
[상대]를 대하다	對待「對方」
[상대방]을 바라보다	看著「對方」
[상대적] 평가	「相對的」評價
[상대편]을 이해하다	理解「對方」
[성별]을 구분하다	區分「性別」
[성숙]이 늦다	晚「熟」
[성인] 여성	「成人」女性
[성장]이 멈추다	「生長」停止
[소년] 시절	「少年」時期
[숙녀]로 자라다	長成「淑女」
[시부모]에게 효도하다	孝順「公婆」
[신분]에 맞다	符合「身份」
[신사]:숙녀	紳士
[아가]가 울다	「嬰兒」哭
[아동]의 성장	「孩子」的成長
[아랫사람]의 도리	「晚輩」的禮節
[아무개] 씨	某某
[안내원]을 따라가다	跟著「案內員」
[애]를 태우다	讓人費心
[애기]를 낳다	生「嬰兒」
[얘]	男生
[어르신]을 뵙다	拜見「老人」
[어린애]를 보살피다	照顧「孩子」
[여]자	「女」子
중년 [여인]	中年「女人」
[웃어른]을 공경하다	敬仰「長輩」
[윗사람]을 모시다	侍奉「長輩」
질서 [유지]	秩序「維持」
[이름표]를 달다	掛「名牌」
[인원]이 남다	「人員」剩餘
[일반인] 대상	「一般民眾」對象
[일본인]을 만나다	見「日本人」
[일행]과 헤어지다	與「一行人」分開
[자기]를 반성하다	「自我」反省
[쟤]:저 아이	那小孩
[제] 생각	「我的」想法
스승과 [제자]	師傅和「弟子」
[지식인] 사회	「知識分子」社會
[초보] 운전	「新手」駕駛
수영 [초보자]	游泳「初學者」
학교 [측]	校「方」
[타인]을 의식하다	察覺到「他人」
[학부모]를 모시다	「家長」聚會
[효자]로 알려지다	以「孝子」聞名
[희망자]를 모으다	召集「有興趣者」
