[가수]	歌手
[간호사]로 일하다	做「護士」
[경찰] 기관	「警察」機闗
[공무원] 으로 일하다	公務員
수학 [교사]	數學「老師」
대학 [교수]	大學「教授」
직업 [군인]	職業「軍人」
신문 [기자]	新聞「記者」
배우가 [되다]	「當」演員
연극 [배우]	劇場「演員」
[변호사]	律師
[사장]이 되다	當上「社長」
국어 [선생님]	國文「老師」
축구 [선수]	足球「選手」
[아나운서]	播音員
[약사]가 되다	當「藥師」
[연예인]	藝人
[영화배우]	電影演員
[요리사]	廚師
[운전사]	司機
[음악가]가 연주하다	「音樂家」演奏
치과 [의사]	齒科「醫生」
[종업원]	「從業員」
[주부]로 살다	當「家庭主婦」
[직업]을 구하다	找「工作」
[직원]을 모집하다	召募「員工」
[화가]	畫家
[회사원]	會社員
시간 [강사]	鐘點「講師」
버스 [기사]	巴士「司機」（技士）
신문 [기사]	新聞「記者」(騎士）
[농민]이 경작하다	「農民」耕作
[농부]가 씨를 뿌리다	「農民」播種 （農夫）
패션 [디자이너]	時裝「設計師」
[미용사]가 되다	美髮師
[사업가]로 성공하다	以「企業家」成功
[소방관]이 출동하다	「消防隊員」出動
[소설가]로 알려지다	以「小說家」聞名
비행기 [승무원]	空中小姐
여류 [시인]	女流「詩人」
[연구원]이 되다	成為「研究員」
[외교관]:으로 일하다	當「外交官」
시나리오 [작가]	電影劇本「編劇」
가요 [작곡가]	歌謠「作曲家」
[전문] 분야	「專業」領域
[전문가]를 초빙하다	招聘「專家」
[전문적] 지식	「專業」知識
[전문직]에 종사하다	從事「專門職」
[정치인]이 되다	成為「政治家」
[총리]에 임명되다	任命「總理」
[탤런트]로 활동하다	以「演員」活動
[판사]	法官
[학자]를 초청하다	邀請「學者」
