[감기]에 걸리다	患「感冒」
[감기약]을 먹다	服「感冒藥」
[건강]이 나빠지다	「健康」變差
[기침]이 나다	咳嗽
병이 [낫다]	病「痊癒」
더 [낫다]	更「好的」
[내과]:병원	內科
[다이어트]에 성공하다	「減肥」成功
팔을 [다치다]	腳「受傷」
[배탈]이 나다	拉肚子
[병]에 걸리다	患「病」
[병문안]을 가다	去「探病」
[병원]에 가다	去「醫院」
[상처]가 낫다	「傷口」癒合
[소화제]:약	消化藥
[수술]을 받다	接受「手術」
[약]을 먹다	服「藥」
[열]이 나다	發「燒」
[입원] 환자	「入院」患者
[정형외과]에서 치료하다	在「整型外科」治療
[주사]를 맞다	接受「注射」
[치과]	牙科
[치료]를 받다	接受「治療」
[퇴원] 수속	「出院」手續
[환자]을 돌보다	照顧「病人」
[간호]를 받다	接受「看護」
[과로]로 쓰러지다	因「過勞」暈倒
[금연] 좌석	「禁煙」場所
[나아지다]:건강이	健康「好轉」
[눈병]에 걸리다	得「眼病」
[독감]에 걸리다	得「流感」
감기에 [들리다]	得「感冒」
[멍]이 들다	有「淤青」
[목숨]을 지키다 	守護「生命」
[몸살]이 나다	產生「勞疾」
[문병]을 가다	去「探病」
[물약]을 마시다	喝「藥水」
[반창고]가 떨어지다	撕下「OK繃」
[변비]가 심하다	「便秘」嚴重
늙고 [병들다]	衰老「生病」
[병실]에 문병을 가다	去「病房」探病
약물 [복용]	藥物「服用」
[복통]으로 입원하다	「腹痛」入院
[부작용]이 생기다	產生「副作用」
얼굴이 [붓다]	臉「腫」
[비만]을 치료하다	治療「肥胖」
[비타민]을 섭취하다	「維他命」攝取
앞니가 [빠지다]	「掉」門牙
발목을 [삐다]	腳踝「扭傷」
몸이 [살찌다]	變胖
밤을 [새우다]	「熬」夜
[설사]가 멈추다	「腹瀉」停止
상처 [소독]	傷口「消痛」
[소독약]을 바르다	塗「消毒水」
[소아과]에서 진찰 받다	去「小兒科」檢查
[수면제]를 먹다	吃「安眠藥」
[식중독]에 걸리다	引起「食物中毒」
[식후] 30분	「飯後」30分鐘
[안과]에서 치료를 받다	去「眼科」就診
[안약]을 넣다	點「眼藥水」
[안정]을 유지하다	維持「安全」
[알레르기]를 일으키다	引起「過敏」
감기를 [앓다]	「得」感冒
[암]에 걸리다	得「癌症」
[약품]을 구입하다	購入「藥品」
뼈가 [어긋나다]	骨頭「錯位」
[연고]를 바르다	抺「軟膏」
[영양]이 풍부하다	「營養」豐富
[영양제]를 먹다	吃「營養素」
[외과]에서 치료받다	接受「手術」治療
[요가]를 배우다	學「瑜伽」
[우울]을 느끼다	感到「鬱悶」
[응급실]에 실려 가다	被送到「急診室」
[이비인후과]에서 치료하다	在「耳鼻喉科」治療
[임신] 초기	「懷孕」初期
감기 [증상]	感冒「症狀」
[증세]가 악화되다	「症狀」惡化
[진단]을 받다	接受「診斷」
[진단서]를 떼다	開「診斷書」
[진찰]을 받다	接受「診察」
[진통제]를 먹다	吃「止痛藥」
[질병]을 치료하다	治療「疾病」
[처방]을 내리다	下「處方」
[처방전]을 떼다	取得「處方」
[체온]이 떨어지다	「體溫」下降
밥이 [체하다] 	「積」食
[치료법]을 개발하다	開法「治療方法」
[코피]를 흘리다	流「鼻血」
[콜록콜록] 기침을 하다	「喀喀地」咳嗽
불에  [태우다]	被火「燒傷」
[통증]을 느끼다	感到「疼痛」
[피부병]을 앓다	得「皮膚病」
[향기]를 맡다	聞到「香氣」
피로 [회복]	疲勞「恢復」
[힘없이] 걷다	「無力地」走
