면적이 [늘다]	面積「增加」
모양이 [변하다]	樣貌「改變了」
[점점] 추워지다	「漸漸」變冷了
[조금씩] 가다	「逐步」前去
물이 [흐르다]	水「流動」
[각각] 다르다	「各個」不同
[같이] 살다	「一起」住
[거의] 없다	「幾乎」沒有
물이 [끓다]	「燒」水
둘로 [나누다]	「分成」兩部份
[나머지]돈	「剩下的」錢
음식을 [남기다]	「剩下」食物
시간이 [남다]	「剩下」時間
세 시간이 [넘다]	「超出」三小時
[다] 모두	「全」都是
[다양]한 방법	「各種」方法
[대부분]의 시간	「大部份的」時間
[모두] 함께	「全部」一起
[모든] 사람	「所有」人
[부분] 으로 나누다	分成「部份」
산소 [부족]	氧氣「不足」
[아무것]이나 괜찮다	「什麼」都行
[아무리] 돈이 많아도	「不管」錢「再怎麼」多
[약] 1시간	「大約」1小時
[어느] 나라	「任何」國家
[여러] 나라	「一些」國家
[완전히] 끝나다	「完全」結束
[일부] 지역	「部分」區域
물건을 [잃다]	東西「遺失」
물건을 [잃어버리다]	東西「弄丟」
[전] 세계	「全」世界
[전부] 모이다	「全部」集合
[전체] 국민	「全體」國民
[전혀] 모르다	「完全」不知道
[함께] 놀다	「一起」玩
친구와 [헤어지다]	和朋友「分開」
[갈수록] 더하다	「越來越」嚴重
[거꾸로] 뒤집히다	顛倒
새로운 [경향]	新「傾向」
얼음이 [녹다]	冰塊「熔化」
얼음을 [녹이다]	冰塊「熔化」
규모를 [늘리다]	規模「增加」
사람이 [늘어나다]	人口「增加」
고무줄을 [늘이다]	「拉長」橡皮筋
마음이 [돌아서다]	想法「改變」
[되풀이]가 되다	反過來
빗방울이 [맺다]	雨點「凝結」
구름처럼 [모여들다]	如雲「聚集」
영향을 [미치다]	「造成」影響
[변동]이 심하다	「波動」很大
[변화]를 겪다	經歷「變化」
문이 [부서지다]	門「碎了」
유리창을 [부수다]	「打碎」破璃窗
계획 [수정]	計劃「修正」
[스위치]를 켜다	打開「開關」
나사가 [풀리다]	螺絲「鬆」
끈이 [풀어지다]	繩子「被解開」
냄새를 [풍기다]	「發出」臭味
가치관 [형성]	價值觀「形成」
[확산]을 막다	防止「擴散」
빗물이 [흘러내리다]	雨水「流下來」
땀 [흡수]	「吸」汗
땅이 [굳어지다]	地「變硬」
거울을 [깨뜨리다]	「打碎」鏡子
불이 [꺼지다]	火「熄了」
강물이 [넘치다]	江水「溢出」
풍선을 [터뜨리다]	「弄破」氣球
풍선이 [터지다]	氣球「爆炸」
[활짝] 열다	「敞」開
[진동]이 울리다	振動
칼로 [가르다]	用刀「切」
[각] 개인	「每個」個人
아시아 [각국]	亞洲「各國」
[각자]가 맡다	「各自」負責
[각종] 과일	各種「水果」
벽이 [갈라지다]	牆壁「裂開」
[갖가지] 모양	「各種」模樣
[겨우] 살아나다	「勉強」活著
[결합]을 이루다	「結合」在一起
[경계]를 짓다	建立「邊界」
[구분]을 짓다	進行「區分」
[그저] 웃기만 하다	「只是」笑著
[깊이]가 깊다	「深度」很深
다리가 [끊기다]	腿「斷掉」
줄이 [끊어지다]	繩子「斷掉」
욕심이 [끝없다]	貪心「沒有極限」
[끝없이] 이어지다	連綿「不斷」
빵이 [나뉘다]	把麵包「分開」
[넓이]를 재다	測量「寬度」
[더불어] 살다	「一起」住
[따로따로] 움직이다	「分頭」行動
자전거가 [망가지다]	自行車「壞了」
[몫]을 나누다	分配「份額」
[무려] 20배이다	「足足有」20倍
벽에 틈이 [벌어지다]	牆上「裂」縫
소동이 [벌어지다]	「發生」騷動
[별도]로 마련하다	「另外」準備
[부분적] 차이	「部份的」差異
상처 [부위]	傷口「部位」
[부품]을 생산하다	生產「零件」
국토 [분단]	國土「分裂」
[분류] 기준	「分類」基準
쓰레기 [분리] 수거	垃圾「分類」
[분실] 사고	申告「遺失」
[분실물]을 찾다	找到「遺失物」
인구의 [분포]	人口「分布」
[아무런] 것도 먹고 싶지 않다	[什麼」都不想吃
실력과 [아울러] 미모도	實力「兼具」美貌
[오로지] 공부만 하다	「專程」學習
[오직] 너만	「只有」你
[온통] 그 생각뿐이다	「滿腦子」都那樣想
[일부분]에 속하다	屬於「一部份」
[저마다] 다르다	「每個」都不一樣
[저만큼] 느끼다	感覺「那麼多」
[전체적] 분위기	「整體」氛圍
[종합] 검사	「綜合」檢查
[통] 말이 없다	「完全」無話可說
점점 [퍼지다]	漸漸「散開」
[한꺼번에] 갚다	「一次」還清
하나로 [합치다]	「合而」為一
사방으로 [흩어지다]	四「散」
[몽땅] 쓰다	「全部」花光
뼈가 [부러지다]	骨頭「斷了」
