책이 [두껍다]	書「厚」
두께가 [얇다]	厚度「很薄」
짐이 [무겁다]	行李「重」
[무게]가 나가다	[重量」重
산이 [낮다]	山很「矮」
산이 [높다]	山「高」
돈이 [많다]	「許多」錢
손가락이 [가늘다]	手指「細」
목소리가 [굵다]	聲音「粗」
다리가 [길다]	腿「長」
[길이]를 재다	測量「長度」
집이 [넓다]	家很「寬敞」
[높이]가 높다	「高度」很高
[높이] 날다	飛得「高高地」
얼굴이 [작다]	臉「很小」
방이 [좁다]	房子「很狹窄」
크기가 [줄다] 	體積「縮小」
다리가 [짧다]	腿「短」
[크기]가 크다	「尺寸」大
크기가  [크다]	尺寸「大」
[가득] 담다	裝得「滿滿地」
[많이] 사다	買「很多」
잠이 [모자라다]	睡眠「不足」
[약간] 크다	「一點」大
[조금] 먹다	吃「一點」
공간이 [차다]	空間「滿」
집이 [비다]	家裡「空著」
짐이 [가볍다]	行李「輕」
[두께]가 얇다	「厚度」薄
[소형] 자동차	「小型」汽車
[대강] 정리하다	整理「大綱」
[대개]의 경우	「大概」的狀況
[대략] 설명하다	「大略」說明
[대체로] 그러하다	「大致上」就這樣
[대충] 읽다	「略」讀
내용 [요약]	內容「概要」
머리가 [길다]	頭髮「長」
[수많은] 사람	「很多的」人
감정이 [풍부하다]	感情「豐富」
[확대]:축소	「放大」：減少
[거대] 규모	「巨型」規模
[규모]가 크다	「規模」大
폭이 [넓어지다]	範圍「變寬」
길을 [넓히다]	「加寬」馬路
[대규모] 행사	「大型」活動
[대다수]가 찬성하다	「大多數」贊成
[대량] 으로 생산하다	「大量」生產
[대형] 냉장고	「大型」冰箱
숫자를 [더하다]	「加上」數字
[면적]이 넓다	「面積」廣
[미니] 자동차	「迷你」車
[미소]하다	微小
[비중]이 높다	「比重」高
피해가 [엄청나다]	損失「慘重」
얼굴이 [조그맣다]	臉孔「小」
[좀처럼] 안 되다	難以為繼
인구 [증가]	人口「增加」
색깔이 [짙다]	色彩「濃郁」
[체중]을 조절하다	「體重」調節
[치수]를 재다	測量「尺寸」
문제가 [커다랗다]	問題「大」
범위가 [폭넓다]	範圍「廣」
물이 [가득하다]	水「滿」
물을  [가득히] 따르다	把水倒「滿」
인구 [감소]	人口「減少」
[덜] 익다	「半」熟
사람들로 [붐비다]	「擠滿」很多人
[텅] 비다	空蕩蕩
[골고루] 먹다	「均衡地」吃
[균형]을 잡다	保持「平衡」
[그만큼] 남다	留「這些」
[널리] 알려지다	「廣泛地」被知道
[단] 하루	「僅」一天
[두어] 마리	兩頭「左右」
작업[량]	工作「量」
[분량]을 조절하다	「份量」調節
[빠짐없이] 참석하다	「全部」參加
[여럿] 가운데	「許多」之間
